Brown Paper Sack,The Gentrys,spotify:track:2MUmxGWK06HQtnCklHgOio
The Way I Feel Inside,The Zombies,spotify:track:2iSxljzM8Xw9EEIGBRW1CD
A Letter,The Easybeats,spotify:track:1rFqz9HJ2BEBnbgWwcdGfi
Banzai Pipeline,The Astronauts,spotify:track:1nRunodttbl9WDYY1etFYi
Chains - Remastered 2009,The Beatles,spotify:track:3JQWLa88R35d971o5bIImd
Alley Oop - Previously Unreleased - Mono Version,The Lovin' Spoonful,spotify:track:3FvLsojIPCBKpd3qWfJDKf
Custom Caravan,The Super Stocks,spotify:track:0oNjfDag5aOMAXROczxx4o
Egyptian Garden,Kaleidoscope,spotify:track:6Rjsm5Waf8x3XbgSPjcmGd
Music Goes Round My Head,The Easybeats,spotify:track:32ccmRtd3SoC6MMWksRtCQ
We Should Get Along Fine - Stereo Version,The Sorrows,spotify:track:4vH3L3GzZ9Mk0C3a5Qyoud
Do You Love Me,The Sonics,spotify:track:7yU1V4gJGqwxH3ymHyXfKp
Good Night - Remastered 2009,The Beatles,spotify:track:3T4Kt51PV4k8tx6YCtBgcl
Cupid,The Supremes,spotify:track:0OPbx6gMmjr0DojvKrDdJg
Both Sides Now,Judy Collins,spotify:track:2xSfwtV4mUr2h63Q1zJH58
Yellow Brick Road,Captain Beefheart & His Magic Band,spotify:track:0GhdsifgVMNt7M2gTHQyA6
Baby - 66 Version,The Sorrows,spotify:track:2PqnPOMbHnFbTBEbsa2DNd
Big Boss Man,Syndicate Of Sound,spotify:track:2QelorJBAe5SpseHaAw8aP
Out Of Time - Edit Version,The Rolling Stones,spotify:track:3sMReRRurYwYGmxuj9e0G5
Being For The Benefit Of Mr. Kite! - Take 4,The Beatles,spotify:track:5Fo2uGHAErsDwiIOo4wcjS
You Never Give Me Your Money - Remastered 2009,The Beatles,spotify:track:1jOLTO379yIu9aMnCkpMQl
Marmendy Mill (Demo) - Remastered,The Turtles,spotify:track:12bGlqw1Y5GkyMoWU1Xa07
"Pyramid Stomp - From the Film ""Wild On the Beach"" a Twentieth Century- Fox Release",The Astronauts,spotify:track:2AM6EvzOwaS0zQUofrhOwH
Berkshire Poppies,Traffic,spotify:track:3y70T94yt1dAkgcQWltgHt
Where There's Woman,Captain Beefheart & His Magic Band,spotify:track:3CMMVIYQEer4oi1MQjAM7N
Turtle Blues,Big Brother & The Holding Company,spotify:track:1CdEksXQ6gvdr4blQjQdTZ
I See the Rain,Marmalade,spotify:track:2BCVsvwkMxJ9LHLqolpXV4
Mr. Madison Avenue,The Weeds,spotify:track:3t0USnzKX5RfmW5Jp4sv2D
Back In The U.S.A.,Chuck Berry,spotify:track:114gCJP9NGrrs5gjPU8RTi
Love to Love - Stereo Remix,The Monkees,spotify:track:6tDknr2pCA2RZBpQ7UJjPe
Baby Baby It's You,The Yellow Balloon,spotify:track:0uOWkB8altA6zTBwgD1LuY
I Put A Spell On You,Creedence Clearwater Revival,spotify:track:1XMP99GU4f6UemfWiNoXHE
Silas Stingy,The Who,spotify:track:4lZ4sk0iqchMS45SahiJfB
The Fourth Dimension,The Ventures,spotify:track:5qzF0FSptL2RThD4x3COtz
Alone Again Or - 2015 Remastered Version,Love,spotify:track:1XuccRABkfUVB4FjSVhjL1
Higgle-Dy - Piggle-Dy,The Monks,spotify:track:1vOtRIa93PhqcW4obO7csj
Live And Learn,Writing On The Wall,spotify:track:3QBb9P78DWPDNUX42FQ1Ff
Girl from the North Country,Bob Dylan,spotify:track:739sLmfUkVFoyPtb0C3263
Double Shot (Of My Baby's Love),The Uniques,spotify:track:2uBxtuLoOBUhA45ydEqrX4
Lay Me Down And Die - Instrumental,The Easybeats,spotify:track:38U1Bm3xe2yIOxY5W2HFSF
Amen Brother,The Winstons,spotify:track:32Rf95ZT8gxisQMK6xAhba
Not Too Long Ago,The Uniques,spotify:track:4DdICLH2xKTy6d4LFS5WjI
Smell of Incense,The West Coast Pop Art Experimental Band,spotify:track:2SsMpbiZJi3twzorpStsRe
I Will - Remastered 2009,The Beatles,spotify:track:09x9v1o51dbqi5H0u7UGfp
Twilighter,The Sentinals,spotify:track:6POKs3Ewauvy8IH9OK3nER
Lodi,Creedence Clearwater Revival,spotify:track:5Z6y2wK3TOdGNLxFmBJSdl
Our Love Was,The Who,spotify:track:5mL7iSUzaZmCRIMK95q2Tw
Light Bulb Blues,The Shadows Of Knight,spotify:track:1wcF55SClAzvP86oPDLWiY
The Walking Song (Mono) - Remastered,The Turtles,spotify:track:3iKvnMA61c10ZT9MfdvMwe
Bring A Little Lovin,The Easybeats,spotify:track:2NRxFQyHPgvA000Yju3F29
Daddy Rolling Stone - Mono Version,The Who,spotify:track:4YD9A5ojFOulysWstuEPkD
Kiss Of Confusion,Blossom Toes,spotify:track:40cEwFBw3i9SbtX7YCCc0z
My Girl,Otis Redding,spotify:track:5zQyqgNXKzhifkivumzxDS
The Sick Rose,David Axelrod,spotify:track:7Mn2rm9sXimTZPsDzu49fj
Much Too Much - Demo / 2016 Mix,The Who,spotify:track:2z8ZlLO3JkV5Qn6ibw0b1p
Route 66,Chuck Berry,spotify:track:6TXnGAr6DLVYshIrMeP0lZ
Massachusetts (2008 Remastered LP Version),Bee Gees,spotify:track:1mBPlknQe00PCd7R9g34ix
Drown My Heart,Hector Rivera,spotify:track:3cAyhvkFnvwHjwcGqofF7k
Martha My Dear - Remastered 2009,The Beatles,spotify:track:1swmf4hFMJYRNA8Rq9PVaW
Turtle Soup Radio Spot - Remastered,The Turtles,spotify:track:5pJq1iHor23PktgnQEwQfp
Dupree's Diamond Blues - 2001 Remaster,Grateful Dead,spotify:track:1bY3fB4kNjNG2HvLirkLpl
The Colours Have Run - 2017 Remaster,Clouds,spotify:track:0m9IH9BH2D4BKw82FEpoH7
"Try It - Mono, 1999 Remastered Version",The Hollies,spotify:track:3SePvXK85HO7REaH1y1S8I
Jumpin' Jack Flash - Mono Version,The Rolling Stones,spotify:track:1gqTXnc7WXBI9AwcCiqcJ1
Understanding Love,The Action,spotify:track:4P7opmQhUevLWHITZXUGWx
I Can't Make It - Take 11 Backing Track,Small Faces,spotify:track:5JeDrgNougaMMQoRotQHny
To Love Somebody,Janis Joplin,spotify:track:1hxrGuTfeq8ayjB7fbIfpN
Not Right,The Stooges,spotify:track:0lcuhtx0HtZeWFUYFqIi5P
"Hello, How Are You",The Easybeats,spotify:track:2Tz52n0WArh0ysU5EDscqa
Play With Fire - Mono Version / Remastered 2002,The Rolling Stones,spotify:track:4lbjQJJqn7jiMts1FwfETv
One Good Man,Janis Joplin,spotify:track:6Evy14WwFHLIJNxvBMnoX6
Run and Hide,The Uniques,spotify:track:2KvZMgvPAfLks8FTRMrfO4
Lubie (Come Back Home) - Alternative Mix / 2000 Remix,The Who,spotify:track:4S59MedTYPGtvfOJrAyH0H
Homeward Bound,Simon & Garfunkel,spotify:track:03VXrViYqJpdhuBEV0p0ak
Ladybird,Writing On The Wall,spotify:track:7nM0p9D0qXKC5NoEkec3oz
PÃÂ© da Roseira,Gilberto Gil,spotify:track:6I2hzFOgRDL4ZA4k5tPyJM
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Johnny Cash,spotify:track:3ftnDaaL02tMeOZBunIwls
Moon Child,Thunder and Roses,spotify:track:4Pwqf4Tt4pQ136osW6ZTv3
Man With Money,The Who,spotify:track:1Ec6BXeFRYpw8qoLz7vzZz
"Walk, Don't Run",Herb Alpert & The Tijuana Brass,spotify:track:5ku2NnDXXENfVkc3ha6yNH
Koeeoaddi There - 2010 Remaster,The Incredible String Band,spotify:track:5b2a3EwlierAubBmzyzZcg
Surf 'n Soul,The Sentinals,spotify:track:5XcSoDYMAWlFNeUCdvhdxH
I'm Alright - Live,The Rolling Stones,spotify:track:48qISZnlpVboOBRAiaudbS
The Girl I Knew Somewhere,The Monkees,spotify:track:42vqEYmBGRhJjnG9ppDKuQ
Sky Pilot,Eric Burdon & the Animals,spotify:track:30e0yurI61psHXldSRCEmF
Saturday Night - Alternate Mix,The Easybeats,spotify:track:7d4Q3rKyTQRE0Hy7aun0Tx
Lucy In The Sky With Diamonds - Take 1 And Speech At The End,The Beatles,spotify:track:3sVmaIGrxKARMwVPSVh2QM
Midnight Voyage,The Mamas & The Papas,spotify:track:0xMgWBNEdkV45qmf5gX5IC
Put It off Until Tomorrow,Dolly Parton,spotify:track:1ZrSSKgcyLxgOML62hqfZm
"Mary, Mary - Original Stereo Version; 2006 Remaster",The Monkees,spotify:track:4pjkT1NbhrcgkazPdRywOp
I Need You - Remastered 2009,The Beatles,spotify:track:5EzvwjFwdP5Kfl5AZAemzu
Dear Mr. Fantasy,Traffic,spotify:track:1ELF9fCfvli49hNX10pH2Y
Girl - Remastered 2009,The Beatles,spotify:track:6tQvjqDIK9GXWIC6mejms8
Me About You - Remastered,The Turtles,spotify:track:6CtH9J1mFPvsNndn2NyaEB
I Wanna Be Your Dog (John Cale Mix) - 2019 Remaster,The Stooges,spotify:track:1xSOnVQX3gBGYmBTyohgD3
Earth Anthem,The Turtles,spotify:track:52nwzBkRbwfweJRx9LftBC
Shake a Tail Feather,Tommy James & The Shondells,spotify:track:2KLl5S2J8q9c0XdHf2zck5
Forget All About It,Nazz,spotify:track:1QKFvqj7B2uXphyDUCMszq
Eulogy To Lenny Bruce,Nico,spotify:track:57qN9F4ipSdJmAzT1orlRP
Night Time Is the Right Time,The Sonics,spotify:track:5LQVs5I0r6PngDCELhQzAi
I Like It Like That (feat. Van Morrison) - Mono Version,Them,spotify:track:5JcKGMQ56KR3c8kbJQBTCG
The Fly,David Axelrod,spotify:track:660A1oFGadsiqBJpBrwwPd
Lazy Sunday (Mono),Small Faces,spotify:track:2CV7c1Hlss52ZiHRZS9x6w
Chicken Little Was Right - Remastered,The Turtles,spotify:track:0om5r732cnOa4qc8dspMpl
I'm the Urban Spaceman - 2007 Remaster,The Bonzo Dog Band,spotify:track:0QWAOOFV9lsnC7fYHeSycS
Upper Four Hundred,The Three Sounds,spotify:track:1bKkolJHf6LXxwvWNa5EYp
Why Don't We Do It In The Road? - Remastered,The Beatles,spotify:track:4zExFATo8xg8qFfR4H1ZAn
Paint It Black - Mono Version,Eric Burdon & the Animals,spotify:track:6AtfZ5XRPKGNH1jJDEV16g
"No, No, No, No - Single Version",The Sorrows,spotify:track:4Ah2evB7BVOXsLB1RjOEmW
Life Will Pass You By,Kaleidoscope,spotify:track:5o37J9r1BYrACzNcnGvrWw
I'm Going,Flying Circus,spotify:track:5i3KfReTAuwQMYaicZ8FyC
It's Gone,The Motions,spotify:track:1fDzyG5zHskn1oHWen731R
Gilded Lamp of the Cosmos,Ultimate Spinach,spotify:track:43kWIqzAQSluGMe5a5yr87
Time of the Season,The Zombies,spotify:track:1ZwDntATen2rdQxz03rtTe
Psychedelic Moon - Mono,The Deep,spotify:track:086zByKFNPuFV5xEeSdudO
"Darkness, Darkness",The Youngbloods,spotify:track:5DfEk8Zn8JkTdYmirq1Blh
The Boy With The Green Eyes,Wool,spotify:track:52izZYKuhv8B2bB6iboRmH
My Generation - Stereo Version,The Who,spotify:track:4u9f8hqstB7iITDJNzKhQx
Salesman - 2007 Remastered Version,The Monkees,spotify:track:5jSsiDPW6dV3Uv4bIKg6uf
So Much In Love - Single Version/Bonus Track,The Tymes,spotify:track:6r2443Uvg4L9WOR9m2mHSx
Rael - Pt. 1 & 2/Incl. Track Records Run-Off Groove,The Who,spotify:track:4UnDTfy5w2zAN189hJzrAg
As Tears Go By - Mono Version,The Rolling Stones,spotify:track:1LD75COdR1n8jTIjommyS2
Anyway Anyhow Anywhere - Stereo Version,The Who,spotify:track:7u8Z9Y3VFMAELQT1nEchtL
Don't Need Your Lovin',The Chocolate Watchband,spotify:track:5KuMDgpA6SZbPEA3MF6Uak
She's Leaving Home - Remix,The Beatles,spotify:track:4Ggjly9D6YlPfywZOViMaG
I Got My Mojo Working,The Paul Butterfield Blues Band,spotify:track:2o3h9YnZHM6T4kzwwLNnHg
Wave,AntÃÂ´nio Carlos Jobim,spotify:track:7f4kCTMd4Q5duvmWQl5vdT
Kozmic Blues,Janis Joplin,spotify:track:7eYYxblNEZKKeTT0HBQbXO
Love Is a Precious Thing,The Uniques,spotify:track:50u76gCdDgTgo0rTb059ll
Money (That's What I Want),The Sonics,spotify:track:2ucaZEnf3cEhFR1pxLYOx2
Cymbaline,Pink Floyd,spotify:track:6DtilR2YyfH1eAmxB7CseW
L'anamour,FranÃÂ§oise Hardy,spotify:track:3Knc5zT24bvPZdhmZQsOC1
Sweet Sweet Child,The Astronauts,spotify:track:0IujzBFGrM6ZJLT6fUpglz
Lucy In The Sky With Diamonds,The Beatles,spotify:track:10pNLTLW8QHp0FbhjA0ejS
Step Inside Love - 2003 Remaster,Cilla Black,spotify:track:5thQymlD4C9mxNIQmgzWAt
Nimm mein Herz,The Sorrows,spotify:track:3cswahzFNWSRYe7ZCpGlZl
On The Road Again,Canned Heat,spotify:track:6DXgHLHzB1mFIaoP2KK1hC
Burn Like a Candle,Paul Revere & The Raiders,spotify:track:7iJOqLBPty5DIBQt1WVhkA
The Girl I Left Behind Me,The Monkees,spotify:track:2qXKcG4zedysgVU1fdnISN
I Want Someone To Love,The Motions,spotify:track:0rQPUEoeU67kThIz0pSOt9
Honky Tonk,The Astronauts,spotify:track:2uh2hCI9XTfmfiE4ARDxUZ
Out And In,The Moody Blues,spotify:track:0UmAzPv6fru5S2Iy9MVCOD
I Can't Explain,The Who,spotify:track:2JrMcWigCymlBNbnQp6YcN
Sorry She's Mine - Alternate Mix (Electronically Processed Stereo),Small Faces,spotify:track:6NjzP4m1oBdfo0293AnaJB
I Call Your Name,The Mamas & The Papas,spotify:track:46RVIZHY0PgIHT4Wbj1Swr
I Will Follow You,Ricky Nelson,spotify:track:4Y6pdMS2PwGshq1MYcJ9fC
Big Boss Man,The Astronauts,spotify:track:5kncyJYvDfLyGDlpfGmJmq
Monster/Suicide/America,Steppenwolf,spotify:track:0YLxjuuFwO43fyBj7ADM85
Watch Yourself,The West Coast Pop Art Experimental Band,spotify:track:5ipkHrtvG4IsAXCpxZVFuq
Giant Steps,John Coltrane,spotify:track:47vmcuvMWFIsMaiHFIGSIu
(I Know) I'm Losing You,The Temptations,spotify:track:6AVW1sQ4lSml1Srlnw8wOG
Here Comes The Sun - Remastered,The Beatles,spotify:track:45yEy5WJywhJ3sDI28ajTm
This Guy's In Love With You,Herb Alpert & The Tijuana Brass,spotify:track:3MTexr44MAV50rEthZ1oV4
Love Special Delivery,The Fire Escape,spotify:track:5k4up0QdNXgHrjlWx1qFPK
Crying in the Rain,The Everly Brothers,spotify:track:3lWuagNhAzcqOikD5KnBku
When I'm Sixty-Four - Remix,The Beatles,spotify:track:1aIwEwu8BE3s5j7hmvZRt9
I Put A Spell On You,Creedence Clearwater Revival,spotify:track:6MdsjEyOvAcuq6FbsVflBW
The Valentyne Suite: January's Search / February's Valentyne / The Grass Is Always Greener,Colosseum,spotify:track:2RwKgWYu1sCuL8Xn0YD6CI
Run Run Run,The Velvet Underground,spotify:track:5hcPtpH1Qh5mp40QMWrY78
Lies (are breaking my heart),The Knickerbockers,spotify:track:6ybSSVTO6vMVJUk2bM68Y7
Anna (Go To Him) - Remastered 2009,The Beatles,spotify:track:2baEFuU0gQon0hgVRioI1o
Amazing Journey - Live,The Who,spotify:track:4eS2Oc3XVZEy1veuuRhBWE
"Get Out of My Life, Woman",Iron Butterfly,spotify:track:1Se3VN5DEkN4nbeuGVNoEx
You've Hurt Yourself,The Motions,spotify:track:1LsKSe7ZYtHQIp4i33SqTW
I'd Rather Go Blind,Etta James,spotify:track:7keRsHHqmuFRv8agWvaYxE
The Wind Cries Mary,Jimi Hendrix,spotify:track:5H6Jp0syB5yEPk7SWYdlmk
"Easy Rider - Live at the Winterland Ballroom, San Francisco, CA - April 1968",Big Brother & The Holding Company,spotify:track:7w1JoSN1dSVcgohFjYKGPC
In My Car,The Astronauts,spotify:track:0MrNRPpLZA2WKWCnQiX8xx
It's Alright,Tommy James & The Shondells,spotify:track:7EMyCUFnhm03poJQqdEiZY
Up The Junction,Manfred Mann,spotify:track:24wlNYtwXQUgE5gx5qfm1E
Tomorrow's Sun,Magic Mixture,spotify:track:3jMLJT6ND4BTxuLuQg3Xfk
You Won't See Me - Remastered 2009,The Beatles,spotify:track:4LLBKnNCrSRrSjSTuiwjE9
"Readin', Ridin' And Racin'",The Super Stocks,spotify:track:6BG6uwITXlMMikrQhFAHpv
Own Up Time,Small Faces,spotify:track:4fgRfmyRgAqhsqfmj47iYG
S.F. Sorrow Is Born,The Pretty Things,spotify:track:5ePZIcchWHRwERlVf7BWYR
Taxim,Kaleidoscope,spotify:track:2mfpIRZQg2ZffoN6242XDR
Moby Dick - 2012 Remaster,Led Zeppelin,spotify:track:0IxtJOcnoS2DPmBfV2HDfW
People Got to Be Free,The Rascals,spotify:track:5tUEIByLWg1sYWajZ2x5zx
Pinball Wizard - Live,The Who,spotify:track:1UO3my2G5ROKAwyL0gJo26
Being For The Benefit Of Mr. Kite! - Speech From Before Take 1 / Take 4 And Speech At End,The Beatles,spotify:track:01zDLN3daHhDgsJhqY9QRn
Lookin' To Spy,The Lovin' Spoonful,spotify:track:3K2Hqc45a9Ty8IQtWxaPxE
When I'm Sixty Four,The Beatles,spotify:track:5wHLDukHz5Mc4r9DzYK1Mt
You've Got To Hide Your Love Away - Remastered 2009,The Beatles,spotify:track:4F1AgKpuFRMLEgtPETVwZk
Early Morning Blues and Greens - Mono Master,The Monkees,spotify:track:7eYeNCziSqCRiKWzEteDcb
It Doesn't Matter Anymore,The Astronauts,spotify:track:5CjIVUpFikwP8ABzTxhpNA
Venus In Furs - Alternative Version,The Velvet Underground,spotify:track:707829ylf9OUun5W32nWSx
House of Pain (Mono) - Remastered,The Turtles,spotify:track:2qoI4vzpmVcqWG1S9fjEon
A Legal Matter,The Who,spotify:track:0feEtF6lAMf0rvjMQmAIHk
The Mental Traveler,David Axelrod,spotify:track:0aurAmzvkM6KSaaoNIofZ7
Let the Good Times Roll,The Astronauts,spotify:track:2EhzaRvM0z0YA5qS7a5OMQ
The Poison Tree,David Axelrod,spotify:track:6PP5RHbDrYOK5xIM5zTdPY
Much Too Much - 2014 Stereo Mix,The Who,spotify:track:3FrrBNY2bL9SbnNXNdyJYt
I Can't Reach You,The Who,spotify:track:2TgB0zCFr6WcxfDNlayXj1
Rebel,Wicked Lady,spotify:track:17zKZPJW8PWYUQjMx4L6vA
Medley - Live,The Astronauts,spotify:track:1RMh0IofVsrl3nVK35Zb4G
I'm Your Witchdoctor,Mike Rudd,spotify:track:6fj6DI1Fx6jdnpfnz9kpbB
Psycho,The Sonics,spotify:track:5GmauXvYCnuWyIgoS6tTYX
Miracle Cure,The Who,spotify:track:78qUMx0aQPEDvRlAEkKkEk
Portrait,Coven,spotify:track:33RHZ3DASfHIVkuN4zrEuT
Summer in the City - Remastered,The Lovin' Spoonful,spotify:track:7AzFID6u1b3zIWbd9pb8Dk
Monterey,Eric Burdon & the Animals,spotify:track:0IsJN8pMnEHbt0wYpg8qs6
Blowin' In the Wind,The Edwin Hawkins Singers,spotify:track:5vFgNxVpW2PR4tPyqD73HR
This Will Be Our Year,The Zombies,spotify:track:02KpkaZbiutsR0ucxce4Sh
Cara-Lin - Stereo Version,The Sorrows,spotify:track:1VAzbVhKvJhTtYdA1BClQQ
You Told Me - 2007 Remaster,The Monkees,spotify:track:7EPWlEvD0jPBTcZzuWCHPG
Armchair King,The Sorrows,spotify:track:6JDIUDHTwpxZb7TYydFp2x
Starvation,The Golden Dawn,spotify:track:3MPd1iTvqCrtETwtFMP2zg
Pillow Time - Demo Version; 2007 Remaster,The Monkees,spotify:track:1Erh5uvTqTH2kYC4qNkWEp
Jug Band Music,The Lovin' Spoonful,spotify:track:5tVH1vBbyB2XI8gJpWlFly
Set The Controls For The Heart Of The Sun - 2011 Remastered Version,Pink Floyd,spotify:track:5TBtYdgh70ZKnZbEJ3KZvR
"Piece of My Heart - Live at the Winterland Ballroom, San Francisco, CA - April 1968",Big Brother & The Holding Company,spotify:track:03W57L5a6ZApmVOmOcIrTV
Summertime,Toussaint McCall,spotify:track:3lfDbFTO3j2PVpScyzclta
Jan Jan,The Fabulous Counts,spotify:track:2Chi2SH4oV59zCK8tYyy3M
Wonderful Land,The Shadows,spotify:track:6iF6wQihUVuivNgAIFJ2zd
I'll Go Crazy,Tommy James & The Shondells,spotify:track:0mDZ3f6xB5fHdMJ4y7yaLH
Gotta Get Away,The Blues Magoos,spotify:track:4BEejJQA8G98paSow3nZCk
Your Man Said You Cried (Mono),The Turtles,spotify:track:2CEifEuTd1GrApUVdJLTgo
Out In The Street,The Who,spotify:track:12csllJkK1LVf7IMViJ4EE
I Can't Wait Until I See My Baby's Face,Dusty Springfield,spotify:track:0IYNdoKq50YkrrBTw59ZRh
She's My Girl - Remastered,The Turtles,spotify:track:6ItS4cOsRx3Hs2L2zHY7hf
Frenesi,Bobby Rydell,spotify:track:02kp9EQaNThqoYFc00hcl0
Prodigal Man,The Amboy Dukes,spotify:track:0z2viVVxJqDqSmlthmpyjG
Dharma for One - 2001 Remaster,Jethro Tull,spotify:track:74GBCwfzw1LoCnkVVC145e
"The Yellow Haired Woman - From the Film ""Wild On the Beach"" a Twentieth Century- Fox Release",Frankie Randall,spotify:track:6LG7PTBA68oqYgyouOgWi9
(I Love You) For Sentimental Reasons - 1998 Digital Remaster,Dean Martin,spotify:track:1aoFgMnQSh6abRnggN0ne2
The Story of Rock & Roll - First Version; Tracking Session Take 23,The Monkees,spotify:track:11TiHlQsPkwd9SSciCVTem
Monk Time,The Monks,spotify:track:6GjdtrmCSD3ENVp3uE5FcM
You Must Be a Witch,The Weeds,spotify:track:3Eu905bx4cD3NGxeByUkqf
Flowers on the Wall,The Statler Brothers,spotify:track:3uG4ygD1bIP3YspJm9N4KO
Soulville,Aretha Franklin,spotify:track:2TMm8uoO8g80pY5tOzkPqU
European Son - Alternative Version,The Velvet Underground,spotify:track:4HWTsTy90S4q0BraXMDW19
Constant Rain,Sergio Mendes & Brasil '66,spotify:track:7crAUHfZ5nyIM5MMS8dQg1
Fahrenheit,Stained Glass,spotify:track:1BCf7Qc3M9ZRH5yH4TLzaj
Hey Girl,Small Faces,spotify:track:6X2216QlYwdB2PeqhuDs18
House Of Pain (Mono),The Turtles,spotify:track:1t6AXWJZveQa4KEnaG7cme
A Million Smiles Away,Strawberry Alarm Clock,spotify:track:5HcEcKOSZgtqwNAmE0zAM2
"Baby, You're A Rich Man - Remastered",The Beatles,spotify:track:7ncH66qOYWLn3Bdw4OjoFi
Historeasy,The Easybeats,spotify:track:4m1Dl3tak43wFDNz4CKQgL
Death Bells At Dawn,The Lords,spotify:track:3yXqhvBHdZhki550QeE2Oq
Book Song,Fairport Convention,spotify:track:5X2I1Xo5E6hlXlIUFnjdfa
Don't Let Me Lose This Dream,Dusty Springfield,spotify:track:2LezMzinSw8QqiunTWOA4C
On The Road Again,Canned Heat,spotify:track:0PRJmbFX6z9OxQ57OFHCqd
I'm Not Your Stepping Stone,Paul Revere & The Raiders,spotify:track:676Na0pPcHstYSMaJyarg7
Fools Rush in (Where Angels Fear to Tread),Andre Kostelanetz & His Orchestra,spotify:track:27YJsvR4z5XBYDnNthlaZK
Mellow Yellow,Donovan,spotify:track:7weLWbJdUz7ZQR4ZJX6l59
With A Little Help From My Friends - Take 1 / False Start And Take 2 / Instrumental,The Beatles,spotify:track:2gawXn44H4l6M5rUT26uZC
Miss Attraction,Strawberry Alarm Clock,spotify:track:6tHV4uyiAO55AXAdLcMyzD
Pretty Song From Psych-Out,Strawberry Alarm Clock,spotify:track:3EmFqjkCftCBM7uKCql2Yn
Banjo,Kaleidoscope,spotify:track:4Cy6wxkqHnbgr8aVijrcLs
I'm a Good Woman,Cold Blood,spotify:track:0OGaqNrHRQr68R8a8k8LYn
Over Under Sideways Down,The Yardbirds,spotify:track:1iNN8y9syNFes6DvQuXEF5
What Goes On - Remastered 2009,The Beatles,spotify:track:19QXdPRZFHI5kNK3tN8Mh7
Shout And Shimmy,The Who,spotify:track:69TBVSy867viNZjqY8v2uf
Wedding Ring,The Easybeats,spotify:track:3kBxPxScpjt991JdhvkCPA
You Showed Me,The Turtles,spotify:track:7j1ABZOylWUPUIZTt5x6AL
What'Cha Gonna Do About It - Alternate Version,Small Faces,spotify:track:4wqyKxHlCNErmvU7VNU2BT
The Girl From New York City,The Motions,spotify:track:4SW8xcy2Z2Wz8PTnFAkGsB
The Good's Gone - Full Length Version,The Who,spotify:track:0baVHZN7mpr6ZbrmGk9x3d
At Last - Single Version,Etta James,spotify:track:1nd9moIZkGvWoHtReFqkRY
Dropout Boogie,Captain Beefheart & His Magic Band,spotify:track:0dSHxJsAOSRAP1DzwjgpRI
Tall Handsome Stranger,Marty Robbins,spotify:track:1nivSuLqmUwqPNfjTcltl7
Only Dreaming,The Action,spotify:track:2DjrHLSSq7x911d4PivOuH
My Pink Half of the Drainpipe - 2007 Remaster,The Bonzo Dog Band,spotify:track:0vnYEhn6SzShl1Qs7Cz8xF
7th Sea,Elysian Spring,spotify:track:6vwrya9EvBER7jElq5Mmkl
It's A Boy,The Who,spotify:track:63kUL0VoSmD9YydxUfg19C
Pata Pata,Miriam Makeba,spotify:track:4S4dCACmtuPWbhvMSfDXqN
Jump in the Line,Harry Belafonte,spotify:track:1zW2csx1vVJrKfvDrFQNVt
Come Softly To Me,The Tiffany Shade,spotify:track:6CcwoFXKHxPk2QWsoi5UGM
Fishin' Blues,The Lovin' Spoonful,spotify:track:6IA3HaGKLkOb1FAaJcJ7AQ
Shady Grove,Quicksilver Messenger Service,spotify:track:1WHSb9ulEtX6G1jwe75lwe
Links on the Chain,Phil Ochs,spotify:track:2OFWP4ClZv3kVwG2gr0gbN
I'll Never Fall In Love Again,Bobbie Gentry,spotify:track:0DGEsyoeTeEtlcZj1gGIPX
My Guy,Mary Wells,spotify:track:3WORyf3FVpYdVoHEgSEt1b
Sunny Cellophane Skies - Mono Version,Status Quo,spotify:track:16Qxym1az3SpDekMWtrbGk
Poor Precious Dreams,The Jelly Bean Bandits,spotify:track:0t1SlgBBQvagH1l5oxgt9w
Ain't That Peculiar - Single Version,Marvin Gaye,spotify:track:1yyJNEU2gWG6QiJkhPwrde
Who Do You Love - Pt. 1,Quicksilver Messenger Service,spotify:track:14hykKy6TC9y6chiptCtje
Royston Rose - Stereo,The Koobas,spotify:track:1m5eX2vrMkId7wskp9UzPK
Lucy In The Sky With Diamonds - Remix,The Beatles,spotify:track:2iIRl5jf9beA2ExZWzn2nt
Early Morning Cold Taxi - incl. Radio London News Bulletin Jingle,The Who,spotify:track:0Vxy1xGyJM9q8Scw8xGYgL
You Baby (Mono),The Turtles,spotify:track:5AhnV2wQ9d2XJNKEXRWnaw
Let's Get Together,The Blues Magoos,spotify:track:5QUMAQw7TMHpe6kv4k9u3R
Magical Mystery Tour - Remastered,The Beatles,spotify:track:7GeZEzG1QEjqRzuWVlrBFt
Proud Mary,Creedence Clearwater Revival,spotify:track:6mv76kovZyVB0UHbqUsee0
What The World Needs Now Is Love,Burt Bacharach,spotify:track:3bgjbxbXvUQ22CyD6Neel9
Walk on By,Dionne Warwick,spotify:track:3xsOtNxtBW0oTI1OWKAzTm
Flower In the Sun,Big Brother & The Holding Company,spotify:track:3O59UWV5NDKZ6Td64Acpzv
Flyin' High (Mono) - Remastered,The Turtles,spotify:track:74VyLVFlPPHnfKuvlyJOqR
A Day In The Life - Remastered 2009,The Beatles,spotify:track:0hKRSZhUGEhKU6aNSPBACZ
"A Little Bit Me, a Little Bit You - 2007 Remaster Mono Single Mix",The Monkees,spotify:track:12Y1aQmQk8B8IyeBdEs76C
