Outside Woman,Bloodstone
Pretty As You Feel,Jefferson Airplane
So You Win Again,Hot Chocolate
Rhapsody In White,Love Unlimited Orchestra
Arms Of Mary,Sutherland Brothers And Quiver
Little Willy,The Sweet
Waterloo,ABBA
Wedding Song (There Is Love),Petula Clark
Suspicious Minds,Dee Dee Warwick
Is Anybody Goin' To San Antone,Charley Pride
Fool's Paradise,The Sylvers
Why Can't We Be Lovers,Holland-Dozier
California,Debby Boone
Let The Music Take Your Mind,Kool & The Gang
Oh Happy Day,Glen Campbell
Caribbean Festival,Kool & The Gang
Dance The Night Away,Van Halen
Dolly Dagger,Jimi Hendrix
Our World,Blue Mink
1927 Kansas City,Mike Reilly
I Get High On You,Sly Stone
Let This Be A Lesson To You,The Independents
Sally,Grand Funk Railroad
I Don't Wanna Lose Your Love,The Emotions
Wishing You Were Here,Chicago
I Got Stoned And I Missed It,Jim Stafford
The Bertha Butt Boogie-Part 1,The Jimmy Castor Bunch
In The Quiet Morning,Joan Baez
Falling Apart At The Seams,Marmalade
Wanna Make Love (Come Flick My BIC),Sun
(Wish I Could Fly Like) Superman,The Kinks
One More Minute,Saint Tropez
"Mercy, Mercy Me (The Ecology)",Marvin Gaye
No No Song/snookeroo,Ringo Starr
If I Could Reach You,The 5th Dimension
Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin
One Monkey Don't Stop No Show Part I,The Honey Cone
Alabama Wild Man,Jerry Reed
Sunday Sunrise,Anne Murray
Girls' School,Wings
The Right Feeling At The Wrong Time,Hot
Uneasy Rider,Charlie Daniels
Turn To Stone,Electric Light Orchestra
"He Ain't Heavy, He's My Brother",The Hollies
Get Down People,Fabulous Counts
Thin Line Between Love & Hate,The Persuaders
Take Me,Grand Funk Railroad
Happy People,The Temptations
I Was Made For Lovin' You,KISS
Gonna Be Alright Now,Gayle McCormick
I Don't Know How To Love Him,Yvonne Elliman
Por Amor Viviremos,Captain & Tennille
It's Sad To Belong,England Dan & John Ford Coley
Ode To Billie Joe,Bobbie Gentry
Avenging Annie,Andy Pratt
Smoke From A Distant Fire,The Sanford/Townsend Band
I Got To Tell Somebody,Betty Everett
Earache My Eye,Cheech & Chong Featuring Alice Bowie
That's What Friends Are For,B.J. Thomas
Still The Same,Bob Seger & The Silver Bullet Band
Never Been To Spain,Three Dog Night
Play On Love,Jefferson Starship
Love Is All You Need,High Inergy
Good Morning Heartache,Diana Ross
Drop By My Place,Little Carl Carlton
Back Home Again,John Denver
Wild World,Cat Stevens
Shaker Song,Spyro Gyra
Baker Street,Gerry Rafferty
That's Why You Remember,Kenny Karen
I Need A Lover,John Cougar
Satin Soul,Love Unlimited Orchestra
Sweetheart,Engelbert Humperdinck
Could It Be Forever,David Cassidy
Good Vibrations,Todd Rundgren
I Who Have Nothing,Liquid Smoke
When There's No You,Engelbert Humperdinck
Raining In My Heart,Leo Sayer
The Candy Man,"Sammy Davis, Jr. with The Mike Curb Congregation"
I Have Learned To Do Without You,Mavis Staples
Kiss And Say Goodbye,The Manhattans
I Guess I'll Miss The Man,The Supremes
I Go Crazy,Paul Davis
Where Peaceful Waters Flow,Gladys Knight And The Pips
Take The Long Way Home,Supertramp
Popsicle Toes,Michael Franks
Love's Street And Fool's Road,Solomon Burke
He Called Me Baby,Candi Staton
School Boy Crush,AWB
"Nice, Nice, Very Nice",Ambrosia
Crazy Mama,J.J. Cale
Fins,Jimmy Buffett
I Need You,America
America,Yes
Golden Years,David Bowie
I'm Coming Home,The Spinners
Truckin',Grateful Dead
Strange Magic,Electric Light Orchestra
The Bells,The Originals
Song Seller,The Raiders
Hey There Lonely Girl,Eddie Holman
Baby Boy,Mary Kay Place As Loretta Haggers
Sky High,Jigsaw
My Old School,Steely Dan
Dueling Banjos,Deliverance/Eric Weissberg & Steve Mandell
Boats Against The Current,Eric Carmen
Smokin' In The Boy's Room,Brownsville Station
I'd Love To Change The World,Ten Years After
If You Leave Me Now,Chicago
Three Steps From True Love,The Reflections
Good Times Roll,The Cars
Dance Away,Roxy Music
Bridge Over Troubled Water,Simon & Garfunkel
"Lord, Mr. Ford",Jerry Reed
Rockin' Soul,The Hues Corporation
You And Your Baby Blues,Solomon Burke
Don't Try To Lay No Boogie-Woogie On The King Of Rock And Roll,John Baldry
"Baby, I'll Give It To You",Seals & Crofts
Let It Be,Joan Baez
Radar Love,Golden Earring
Don't Take Away The Music,Tavares
One Man's Leftovers (Is Another Man's Feast),100 Proof Aged in Soul
I Was Checkin' Out She Was Checkin' In,Don Covay
I Had It All The Time,Tyrone Davis
Sweet Understanding Love,Four Tops
Morning Has Broken,Cat Stevens
Moment By Moment,Yvonne Elliman
Joy To The World,Three Dog Night
A Little Bit More,Dr. Hook
"Bright Lights, Big City",Sonny James
Tryin' To Get The Feeling Again,Barry Manilow
Redneck Friend,Jackson Browne
Banapple Gas,Cat Stevens
So Very Hard To Go,Tower Of Power
I've Been Born Again,Johnnie Taylor
Volare,Al Martino
I Got A Name,Jim Croce
Ain't No Woman (Like The One I've Got),Four Tops
Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds"
Let Me In,Derringer
The Long Run,Eagles
Blue Eyes Crying In The Rain,Willie Nelson
My Music,Loggins & Messina
We've Got To Get It On Again,Addrisi Brothers
Don't Change On Me,Ray Charles
25 Or 6 To 4,Chicago
Come Together/Something,The Beatles
Funky Drummer (Part 1),James Brown
Eh! Cumpari,Gaylord & Holiday
Love Has No Pride,Linda Ronstadt
Crazy Horses,The Osmonds
Like A Sad Song,John Denver
Come And Get Your Love,Roger Daltrey
If It's Real What I Feel,Jerry Butler Featuring Brenda Lee Eager
Living Loving Maid (She's Just A Woman),Led Zeppelin
My Eyes Adored You,Frankie Valli
I'll Be There,Jackson 5
Let Me Know (I Have A Right),Gloria Gaynor
Star,"Earth, Wind & Fire"
"Long, Long Way From Home",Foreigner
Me And Jesus,Tom T. Hall
Country Sunshine,Dottie West
"For Emily, Whenever I May Find Her",Simon & Garfunkel
Hand Clapping Song,The Meters
Rock Me,Nick Gilder
A Horse With No Name,America
You Got Me Walking,Jackie Wilson
Early Morning Love,Sammy Johns
(How Bout A Little Hand For) The Boys In The Band,The Boys In The Band
Josie,Kris Kristofferson
Surrender,Cheap Trick
Springtime Mama,Henry Gross
Heaven On The 7th Floor,Paul Nicholas
It's Really You,The Tarney/Spencer Band
Come Saturday Morning,The Sandpipers
After Midnight,Maggie Bell
Son Of My Father,Chicory
California Nights,Sweet
In Heaven There Is No Beer,Clean Living
Love Machine (Part 1),The Miracles
Clair,Gilbert O'Sullivan
Reach,Orleans
Mornin Mornin,Bobby Goldsboro
One Less Bell To Answer,The 5th Dimension
Scotch On The Rocks,The Band Of The Black Watch
"""Joy"" Pt. I",Isaac Hayes
Sea Cruise,Johnny Rivers
Slow Dancing,Funky Kings
Cheryl Moana Marie,John Rowles
Please Don't Go,KC And The Sunshine Band
"Touch A Hand, Make A Friend",The Staple Singers
Carolina In The Pines,Michael Murphey
This Will Be,Natalie Cole
Summer Of '42,Biddu Orchestra
Let It Be,The Beatles
Renegade,Michael Murphey
Song From M*A*S*H,Al DeLory
The Hungry Years,Wayne Newton
I Can't Help Myself,Eddie Rabbitt
Memorize Your Number,Leif Garrett
Girl You Need A Change Of Mind (Part 1),Eddie Kendricks
Loose Booty,Sly & The Family Stone
Nights In White Satin,The Moody Blues
Uptown Festival (Part 1),Shalamar
Old Time Rock & Roll,Bob Seger & The Silver Bullet Band
Better Place To Be (Parts 1 & 2),Harry Chapin
An American Trilogy,Elvis Presley
I Will Still Love You,Stonebolt
Last Train To London,Electric Light Orchestra
Never Can Say Goodbye,Jackson 5
In The Rain,The Dramatics
Welcome To My Nightmare,Alice Cooper
Spend Some Time,Elvin Bishop Featuring Mickey Thomas
Virgin Man,Smokey Robinson
Make It With You,Bread
Jet Airliner,The Steve Miller Band
"Oh Me, Oh My (Dreams In My Arms)",Al Green
Border Song,Elton John
She's Not There,Santana
Stay/The Load-Out,Jackson Browne
Peg,Steely Dan
Fire,Mother's Finest
Magic Man,Heart
I Don't Wanna Go,Joey Travolta
Stormy,Santana
Diamonds Are Forever,Shirley Bassey
Blockbuster,The Sweet
I'll Have To Say I Love You In A Song,Jim Croce
Jungle Boogie,Kool & The Gang
Doraville,Atlanta Rhythm Section
Dusic,Brick
Sweet Surrender,John Denver
The Next Hundred Years,Al Martino
Tragedy,Bee Gees
Rock And Roll Never Forgets,Bob Seger
I'm Gonna Love You Just A Little More Baby,Barry White
Kissing My Love,Bill Withers
Hey You! Get Off My Mountain,The Dramatics
Da Doo Ron Ron,Shaun Cassidy
Soldier's Last Letter,Merle Haggard And The Strangers
Tin Man,America
Cool Aid,Paul Humphrey & His Cool Aid Chemists
Baby Come Close,Smokey Robinson
Troglodyte (Cave Man),The Jimmy Castor Bunch
Honey Child,Bad Company
Tubular Bells,Mike Oldfield
Battle Hymn Of Lt. Calley,C Company Featuring Terry Nelson
Good Guys Only Win In The Movies,Mel And Tim
My Way,Elvis Presley
We Gotta Get You A Woman,Runt
Loving You Is A Natural Thing,Ronnie Milsap
Ca Plane Pour Moi,Plastic Bertrand
Spill The Wine,The Isley Brothers
Deeply,Anson Williams
Eres Tu (Touch The Wind),Mocedades
Maybe,The Three Degrees
Future Shock,Hello People
Fool To Cry,The Rolling Stones
Living Next Door To Alice,Smokie
It's Four In The Morning,Faron Young
If You Can Beat Me Rockin' (You Can Have My Chair),Laura Lee
Masterpiece,The Temptations
Song Sung Blue,Neil Diamond
Storybook Children (Daybreak),Bette Midler
Easy To Be Hard,Cheryl Barnes/Hair Soundtrack
Part Time Love,Gladys Knight And The Pips
Get Closer,Seals & Crofts (Featuring Carolyn Willis)
Sail Away,Sam Neely
Cried Like A Baby,Bobby Sherman
I Don't Need No Doctor,Humble Pie
Only Love Can Break Your Heart,Neil Young
Since I Fell For You,Charlie Rich
Heartbreak Hotel,Frijid Pink
Crazy On You,Heart
"Darkness, Darkness",The Youngbloods
Takin' It To The Streets,The Doobie Brothers
California Earthquake,Norman Greenbaum
Since You Been Gone,Head East
You Need Love,Styx
Here You Come Again,Dolly Parton
(Call Me Your) Anything Man,Bobby Moore
Give It Up (turn It Loose),Tyrone Davis
Big Shot,Billy Joel
Run Run Run,Jo Jo Gunne
Cosmic Sea,The Mystic Moods
Stoned Out Of My Mind,The Chi-lites
How Can You Mend A Broken Heart,Bee Gees
Finally Got Myself Together (I'm A Changed Man),The Impressions
It's For You,Springwell
Stand Tall,Burton Cummings
Crazy Love,Poco
You Can Do It,Dobie Gray
I'll Take You There,The Staple Singers
Don't Burn Me,Paul Kelly
Sara Smile,Daryl Hall John Oates
Do What You Set Out To Do,Bobby Bland
Think It Over,Cheryl Ladd
Bad Girls,Donna Summer
You,The McCrarys
Shining Star,"Earth, Wind & Fire"
Time Passages,Al Stewart
Everybody Be Dancin',Starbuck
Under The Influence Of Love,Love Unlimited
Turn Back The Hands Of Time,Tyrone Davis
I Hear You Knocking,Dave Edmunds
Happy,Bobby Darin
Mister Magic,"Grover Washington, Jr."
Slip Slidin' Away,Paul Simon
You Little Trustmaker,The Tymes
Emotion,Helen Reddy
Firecracker,Mass Production
Shout It Out Loud,KISS
Never Let You Go,Bloodstone
"One Tin Soldier, The Legend of Billy Jack",Coven
Soul Song,Joe Stampley
Hangin' Around,Edgar Winter Group
Ma! (He's Making Eyes At Me),Lena Zavaroni
Burnin' Sky,Bad Company
My Pretending Days Are Over,The Dells
Street Singin',Lady Flash
Another Saturday Night,Cat Stevens
Heartless,Heart
Midnight Flower,Four Tops
But I Do,Bobby Vinton
Daddy Cool,Boney M
Keeper Of The Castle,Four Tops
Leave Me Alone (ruby Red Dress),Helen Reddy
Pool Of Bad Luck,Joe Simon
The Twelfth Of Never,Donny Osmond
The Player - Part 1,First Choice
Live Your Life Before You Die,The Pointer Sisters
I Likes To Do It,The People's Choice
Anytime (i'll Be There),Paul Anka
"Beg, Steal Or Borrow",The New Seekers
Ain't Nothing Gonna Keep Me From You,Teri DeSario
"God Knows/Baby, I'm Yours",Debby Boone
"Hot Pants - I'm Coming, Coming, I'm Coming",Bobby Byrd
You've Got Another Thing Coming,Hotel
"Living A Little, Laughing A Little",The Spinners
We Can't Hide It Anymore,Larry Santos
"More, More, More Pt. 1",Andrea True Connection
Looking For Space,John Denver
I Didn't Know I Loved You (Till I Saw You Rock And Roll),Gary Glitter
Right On The Tip Of My Tongue,Brenda & The Tabulations
"Love Theme From ""The Godfather""",Carlo Savina
Children Of The Sun,Billy Thorpe
Sweet Baby,Donnie Elbert
Angel,Rod Stewart
I Can't Believe That You've Stopped Loving Me,Charley Pride
Star Love,Cheryl Lynn
Vado Via,Drupi
"Look What They've Done To My Song, Ma",Ray Charles
It's So Easy,Linda Ronstadt
Domino,Van Morrison
New World Coming,Mama Cass Elliot
"Stop, Wait & Listen",Circus
Never Can Say Goodbye,Gloria Gaynor
I'm In Love,Aretha Franklin
The Whistler,Jethro Tull
Kung Fu Fighting,Carl Douglas
Free The People,Delaney & Bonnie & Friends
Love Struck,Stonebolt
Paloma Blanca,George Baker Selection
Can You Do It,Grand Funk Railroad
My Boy,Richard Harris
"I Do, I Do, I Do, I Do, I Do",ABBA
My World,Bee Gees
Simple Song Of Freedom,Buckwheat
Swing Your Daddy,Jim Gilstrap
Love Corporation,The Hues Corporation
Mandy,Barry Manilow
Ffun,ConFunkShun
Midnight Train To Georgia,Gladys Knight And The Pips
Roll On Down The Highway,Bachman-Turner Overdrive
Rockin' Robin,Michael Jackson
This Time I'm In It For Love,Player
You And I,Johnny Bristol
For All We Know,Carpenters
Jambalaya (On The Bayou),The Blue Ridge Rangers
Harry Truman,Chicago
You Won't See Me,Anne Murray
I'll Know Her When I See Her,Cooper Brothers Band
Everything's Been Changed,The 5th Dimension
"Please, Daddy",John Denver
We Got To Live Together - Part I,Buddy Miles
Back In The U.s.a.,Linda Ronstadt
Foxy Lady,Crown Heights Affair
TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees
Let The Music Play,Barry White
It's The Real Thing - Pt. I,The Electric Express
The Family Of Man,Three Dog Night
Hooked On You,Bread
Just A Little Bit Of You,Michael Jackson
Woman's Gotta Have It,(The Preacher) Bobby Womack
Alive Again,Chicago
That Magic Touch,Angel
Bad Blood,Neil Sedaka
"Can't Get Enough Of Your Love, Babe",Barry White
Will You Love Me Tomorrow?,Melanie
When We Get Married,The Intruders
Two Out Of Three Ain't Bad,Meat Loaf
It's A Miracle,Barry Manilow
"Oh No, Not My Baby",Merry Clayton
Friends/chapel Of Love,Bette Midler
Can You Fool,Glen Campbell
"December, 1963 (Oh, What a Night)",The 4 Seasons
You Got The Love,Rufus Featuring Chaka Khan
Can You Read My Mind,Maureen McGovern
The Letter,Joe Cocker with Leon Russell & The Shelter People
Silver Star,The 4 Seasons
Shake Your Body (Down To The Ground),The Jacksons
Kodachrome,Paul Simon
Young Blood,Bad Company
The Young New Mexican Puppeteer,Tom Jones
Easy Livin,Uriah Heep
Dog + Butterfly,Heart
Secret Love,Freddy Fender
"You're The First, The Last, My Everything",Barry White
Mama's Pearl,Jackson 5
Yes We Can Can,The Pointer Sisters
Let Me Try Again (Laisse Moi Le Temps),Frank Sinatra
Gloria,Enchantment
The River Of Love,B.W. Stevenson
Don't Hold Back,Chanson
Burnin' Thing,Mac Davis
You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr."
I Am Love (Parts I & II),Jackson 5
When Will I Be Loved,Linda Ronstadt
Party Music,Pat Lundi
Red Hot,Robert Gordon With Link Wray
It's Alright,Graham Central Station
If I Ever Lose This Heaven,AWB
"You're Welcome, Stop On By",Bobby Womack
Nice To Be With You,Gallery
California Dreamin',America
I Never Cry,Alice Cooper
Sing For The Day,Styx
Better Love Next Time,Dr. Hook
More Than I Can Stand,Bobby Womack
You Don't Mess Around With Jim,Jim Croce
It's Better To Have (and Don't Need),Don Covay
Sad Eyes,Brooklyn Dreams
If It's The Last Thing I Do,Thelma Houston
Hurts So Good,Millie Jackson
My Love,Margie Joseph
Texas,The Charlie Daniels Band
Lonely Teardrops,Brian Hyland
Control Of Me,Les Emmerson
What About Me,Anne Murray
No Charge,Shirley Caesar
Go Down Gamblin',"Blood, Sweat & Tears"
Temma Harbour,Mary Hopkin
Shop Around,Captain & Tennille
Ophelia,The Band
Do You Believe In Magic,Shaun Cassidy
Victim Of Love,Elton John
The Wedding Song (There Is Love),Mary Macgregor
Fallin' In Love,"Hamilton, Joe Frank & Reynolds"
Cry To Me,Loleatta Holloway
It's All Up To You,The Dells
Papa Don't Take No Mess (Part I),James Brown
Love Me Tonight,Blackjack
Take A Letter Maria,R.B. Greaves
Wham Bam (Shang-A-Lang),Silver
Tried To Love,Peter Frampton
1900 Yesterday,Liz Damon's Orient Express
Sweet City Woman,Stampeders
Do It With Feeling,Michael Zager's Moon Band/Peabo Bryson
Let's Clean Up The Ghetto,Philadelphia International All Stars
She,Southcote
The Way Of Love,Cher
Feel The Need,Detroit Emeralds
Up In A Puff Of Smoke,Polly Brown
Outlaw Man,David Blue
There It Is,Tyrone Davis
Billion Dollar Babies,Alice Cooper
Go West,Village People
Who Are You,The Who
I'd Love You To Want Me,Lobo
Red Red Wine,Vic Dana
It's Forever,The Ebonys
Never Ending Song Of Love,Delaney & Bonnie & Friends
Spring Affair/Winter Melody,Donna Summer
You Thrill Me,Exile
Friend And A Lover,The Partridge Family Starring Shirley Jones Featuring David Cassidy
Jimmy Loves Mary-Anne,Looking Glass
Got To Believe In Love,Robin McNamara
Banks Of The Ohio,Olivia Newton-John
Dance With Me,Peter Brown With Betty Wright
I've Got To Have You,Sammi Smith
Party,Van Mccoy
Only Yesterday,Carpenters
Reflections Of My Life,The Marmalade
Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Rumour Has It,Donna Summer
Roll With The Changes,REO Speedwagon
Love Takes Time,Orleans
Tangled Up In Blue,Bob Dylan
Cat's Eye In The Window,Tommy James
Get The Funk Out Ma Face,The Brothers Johnson
After The Dance,Marvin Gaye
"Another Time, Another Place",Engelbert Humperdinck
Fool Like You,Tim Moore
No Sad Song,Helen Reddy
This Moment In Time,Engelbert Humperdinck
Help Wanted,The Hudson Brothers
Touch Me Baby (reaching Out For Your Love),Tamiko Jones
K-Jee,The Nite-Liters
Catfish,Four Tops
Leona,Wet Willie
Can't Take My Eyes Off You,Nancy Wilson
Showdown,Electric Light Orchestra
"Hi, Hi, Hi",Wings
I'm So Glad,The Fuzz
I Got A Thing About You Baby,Billy Lee Riley
My Love Is Music,Space
Weekend Lover,Odyssey
Heaven Must Have Sent You,Bonnie Pointer
When The Morning Comes,Hoyt Axton
Makin' It,David Naughton
"Get Down, Get Down (Get On The Floor)",Joe Simon
An American Trilogy,Mickey Newbury
The Lord Knows I'm Drinking,Cal Smith
You're Gonna Get What's Coming,Bonnie Raitt
Love Fire,Jigsaw
Music Everywhere,Tufano & Giammarese
Sweet Summer Music,Attitudes
Tear The Roof Off The Sucker (Give Up The Funk),Parliament
Don't Drop My Love,Anita Ward
One Less Set Of Footsteps,Jim Croce
In Time,Engelbert Humperdinck
Save Me,Merrilee Rush
An Old Fashioned Love Song,Three Dog Night
Too Hot To Stop (Pt. 1),The Bar-Kays
Coal Miner's Daughter,Loretta Lynn
Highway Song,Blackfoot
It Doesn't Have To Be That Way,Jim Croce
No Time To Lose,The Tarney/Spencer Band
Feeling Alright,Joe Cocker
I Wanna Be With You,Raspberries
The Way We Were/try To Remember,Gladys Knight And The Pips
Rubber Duckie,Ernie (Jim Henson)
In The Mood,Bette Midler
Kalimba Story,"Earth, Wind & Fire"
Disco Sax/for The Love Of You,Houston Person
Stoned Cowboy,Fantasy
Always Something There To Remind Me,R.B. Greaves
What A Shame,Foghat
Make It Easy On Yourself,Dionne Warwick
It's Going To Take Some Time,Carpenters
Dancin' Fever,Claudja Barry
Happiness,The Pointer Sisters
Are You My Woman? (Tell Me So),The Chi-lites
Just Another Night,Ian Hunter
Struttin' My Stuff,Elvin Bishop
He Loves Me All The Way,Tammy Wynette
Think About Your Children,Mary Hopkin
Midnight,Dennis Yost And The Classics IV
Blue Bayou,Linda Ronstadt
Come Softly To Me,The New Seekers
Make Love To Your Mind,Bill Withers
Sooner Or Later,The Grass Roots
You Make Me Real/Roadhouse Blues,The Doors
If Only I Had My Mind On Something Else,Bee Gees
(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,Travis Wammack
Way Down,Elvis Presley
Rock'n Me,Steve Miller
Three Ring Circus,Blue Magic
Virginia (Touch Me Like You Do),Bill Amesbury
Jealousy,Major Harris
You Are Beautiful,The Stylistics
So High (rock Me Baby And Roll Me Away),Dave Mason
River Deep - Mountain High,The Supremes & Four Tops
When My Little Girl Is Smiling,Steve Alaimo
Slick,Willie Hutch
Heart On My Sleeve,Gallagher And Lyle
Do It ('til You're Satisfied),B.T. Express
Let Me Serenade You,Three Dog Night
How Can I Tell You,Travis Wammack
Slippin' Into Darkness,War
Funky Weekend,The Stylistics
Keep On Smilin',Wet Willie
Sun Goddess,"Ramsey Lewis And Earth, Wind & Fire"
Superstar,Murray Head With The Trinidad Singers
Lizzie And The Rainman,Tanya Tucker
Give Ireland Back To The Irish,Wings
Turn Back The Pages,Stephen Stills
Brand New Love Affair,Jigsaw
If I Were A Carpenter,Bob Seger
Ventura Highway,America
Lookin' Through The Windows,Jackson 5
Letter To Lucille,Tom Jones
When Julie Comes Around,The Cuff Links
Whole Lotta Love,Led Zeppelin
I've Had It,Fanny
Roxanne,The Police
He'd Rather Have The Rain,Heaven Bound with Tony Scotti
Uncle Albert/Admiral Halsey,Paul & Linda McCartney
If You Could Read My Mind,Gordon Lightfoot
Runnin' Away,Sly & The Family Stone
Loving Arms,Dobie Gray
Little Bitty Pretty One,Jackson 5
I Need A Man,Grace Jones
You Know That I Love You,Santana
Moon Shadow,Cat Stevens
Don't Leave Me This Way,Thelma Houston
Tonight I'll Say A Prayer,Eydie Gorme
Out Of The Question,Gilbert O'Sullivan
Rock And Roll Heaven,The Righteous Brothers
I Won't Last A Day Without You/Let Me Be The One,Al Wilson
Funky Nassau-Part I,The Beginning Of The End
Empty Pages,Traffic
Half A Million Miles From Home,Albert Hammond
Black Betty,Ram Jam
Woman To Woman,Joe Cocker and The Chris Stainton Band
Alive,Bee Gees
Heartbroken Bopper,The Guess Who
Feelings,Morris Albert
Save The Last Dance For Me,The DeFranco Family featuring Tony DeFranco
Trapped By A Thing Called Love,Denise LaSalle
War,Edwin Starr
I Got Ants In My Pants (and i want to dance) (Part 1),James Brown
Hummingbird,Seals & Crofts
I Can Understand It,The New Birth
Cold Turkey,Plastic Ono Band
Wonderland,Commodores
But For Love,Jerry Naylor
You'd Better Believe It,The Manhattans
I Need You,The Friends Of Distinction
Love Song,Tommy James
Rock The Boat,The Hues Corporation
Movin',Brass Construction
Morning Dance,Spyro Gyra
You Are My Starship,Norman Connors
Thank You Girl,Street People
See You When I Git There,Lou Rawls
Come An' Get Yourself Some,Leon Haywood
Shannon,Henry Gross
Rockin' All Over The World,John Fogerty
The Relay,The Who
Wild Night,Van Morrison
Autobahn,Kraftwerk
Maybe I'm Amazed,Wings
If You Remember Me,Chris Thompson & Night
You're My World,Helen Reddy
Sheena Is A Punk Rocker,The Ramones
Sunshine On My Shoulders,John Denver
Reminiscing,Little River Band
Light The Sky On Fire,Jefferson Starship
"Don't Try To Lay No Boogie Woogie On The ""King Of Rock & Roll""",CROW
I'm A Train,Albert Hammond
Solitary Man,Neil Diamond
Steppin' In A Slide Zone,The Moody Blues
Woman Don't Go Astray,King Floyd
Bold Soul Sister,Ike & Tina Turner
When I'm Dead And Gone,McGuinness Flint
Boogie Oogie Oogie,A Taste Of Honey
Grease,Frankie Valli
Something,Shirley Bassey
Your Time To Cry,Joe Simon
All In Love Is Fair,Barbra Streisand
Shoeshine Boy,Eddie Kendricks
Walk On By,AWB
Keep On Truckin' (Part 1),Eddie Kendricks
"Precious, Precious",Jackie Moore
Superstition,Stevie Wonder
Squeeze Box,The Who
Baby Take Me In Your Arms,Jefferson
Lady Writer,Dire Straits
Rocky,Austin Roberts
Turn Off The Lights,Teddy Pendergrass
Go Away Little Girl,Donny Osmond
Call On Me,Chicago
I Could Never Be Happy,The Emotions
Handbags And Gladrags,Chase
Let's Put It All Together,The Stylistics
Saturday Morning Confusion,Bobby Russell
Cruel Shoes,Steve Martin
Can't Stop Loving You,Tom Jones
Da Ya Think I'm Sexy?,Rod Stewart
Took The Last Train,David Gates
The Proud One,The Osmonds
I Don't Wanna Lose You,Daryl Hall John Oates
Palace Guard,Rick Nelson And The Stone Canyon Band
Like A Sunday In Salem (The Amos & Andy Song),Gene Cotton
Rockin' Chair,Gwen McCrae
Back To The Island,Leon Russell
Let's Live Together,Cazz
Use Me,Bill Withers
Pretty Girls,Melissa Manchester
Cupid,Tony Orlando & Dawn
I Saw A Man And He Danced With His Wife,Cher
It Ain't No Fun,Shirley Brown
(Theme from) Charlie's Angels,Henry Mancini And His Orchestra
Join Together,The Who
Everybody Wants To Find A Bluebird,Randy Edelman
Jump,Aretha Franklin
Something About You,LeBlanc & Carr
Chirpy Chirpy Cheep Cheep,Mac And Katie Kissoon
Mandrill,Mandrill
Big Yellow Taxi,The Neighborhood
Annabelle,Daniel Boone
L.A. International Airport,Susan Raye
Made To Love You,Gary Wright
Dirty Water,The Inmates
On The Beach (In The Summertime),The 5th Dimension
We Don't Talk Anymore,Cliff Richard
Help Me Make It Through The Night,Sammi Smith
Dance And Shake Your Tambourine,Universal Robot Band
High School Dance,The Sylvers
Show Me How,The Emotions
Goodbye My Friend,Engelbert Humperdinck
Lady Eleanor,Lindisfarne
I Can't Hold On,Karla Bonoff
Superman,Donna Fargo
Diary,Bread
Pirate,Cher
Put Out The Light,Joe Cocker
I'm Not Lisa,Jessi Colter
How Could I Let You Get Away,The Spinners
Hey Lawdy Mama,Steppenwolf
You're Movin' Out Today,Bette Midler
One Tin Soldier (The Legend of Billy Jack),Coven
We Were Always Sweethearts,Boz Scaggs
Junk Food Junkie,Larry Groce
I'm So Proud,The Main Ingredient
Keep Holding On,The Temptations
We Can Make Music,Tommy Roe
Change Partners,Stephen Stills
Guess Who,Ruby Winters
Crazy Little Thing Called Love,Queen
You Got That Right,Lynyrd Skynyrd
Operator (That's Not the Way it Feels),Jim Croce
Good Friend,Mary Macgregor
Hot Stuff,Donna Summer
Gimme Some Lovin'-Pt. 1,"Traffic, Etc."
Steppin' Out,Neil Sedaka
Goin' Home,The Osmonds
Waiting At The Bus Stop,Bobby Sherman
Sweet Thing,Rufus Featuring Chaka Khan
Bite Your Lip (Get up and dance!),Elton John
We're On The Right Track,South Shore Commission
Break It To Them Gently,Burton Cummings
So Far Away/Smackwater Jack,Carole King
Roland The Roadie And Gertrude The Groupie,Dr. Hook And The Medicine Show
Superfly,Curtis Mayfield
Only You Know And I Know,Delaney & Bonnie
It Hurts So Bad,Kim Carnes
Nobody Does It Better,Carly Simon
Tongue In Cheek,Sugarloaf
Hocus Pocus,Focus
Jazzman,Carole King
Strawberry Letter 23,The Brothers Johnson
Gotta Get Back To You,Tommy James And The Shondells
The Court Room,Clarence Carter
One Way Or Another,Blondie
Outlaw Man,Eagles
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
Old Days,Chicago
Enjoy Yourself,The Jacksons
Small Beginnings,Flash
It Only Hurts When I Try To Smile,Dawn Featuring Tony Orlando
This Is Love,Paul Anka
Gotta See Jane,R. Dean Taylor
Down To The Nightclub,Tower Of Power
Runaway,Charlie Kulis
Walkin' In The Rain,Jay & The Americans
Don't Let Love Hang You Up,Jerry Butler
I'm Comin' Home,Tommy James
Long Tall Glasses (I Can Dance),Leo Sayer
