Der Kommissar,After The Fire,spotify:track:0OCoPwxoxtmhwTzUCpilQc
Hands on the Wheel,Willie Nelson,spotify:track:6C8nBZQw7yyPQ1jkelFYX5
Amanda,Waylon Jennings,spotify:track:62jCWEeUEIjzli6sFPcFnK
Laid Back Country Picker,Waylon Jennings,spotify:track:5GOtxDQREPCYty5nqsJnLM
I've Always Been Crazy,Waylon Jennings,spotify:track:7uCZY4H10zmzAgybEQkfmL
A Long Time Ago,Waylon Jennings,spotify:track:79erUqzXzC0KjIu5VTZwpU
Medley: Funny How Time Slips Away / Crazy / Night Life,Willie Nelson,spotify:track:4FI6NG5Fyda29Fbb68Cp0N
Jesus Was a Capricorn (Owed to John Prine),Kris Kristofferson,spotify:track:0CbCkwsrhGO8a4dJj11s1M
Family Tradition,"Hank Williams, Jr.",spotify:track:73ZTWCuwudUVvvWipRnQnQ
Groover's Paradise,Doug Sahm Tex Mex Trip,spotify:track:5a9XJbbsMevTf0SVsMlFF3
The Ride,David Allan Coe,spotify:track:2x0l9ZSlFXlDTByKu5NXdK
Our Names Aren't Mentioned (Together Anymore),Asleep At The Wheel,spotify:track:31CAEgBwQexYvN3Nc5jG6d
Blue Skies,Willie Nelson,spotify:track:6hwFYokKsYcft5VzwRcLP3
Forgiving You Was Easy,Willie Nelson,spotify:track:1uPV78WGj2AfJILdUBrwLs
Uncloudy Day,Willie Nelson,spotify:track:44EMKuKV4fepAeNXG0wQiJ
The Last Thing I Needed First Thing This Morning,Willie Nelson,spotify:track:7viJvsSKvbL4aBGmTzg4vi
Only Daddy That'll Walk the Line,Waylon Jennings,spotify:track:3rbMqKKqngLMilCBw0N9lR
The Taker,Waylon Jennings,spotify:track:6EibL51h5Zplr4Dyj41nDl
Mississippi Woman,Waylon Jennings,spotify:track:64BFsyMdThK1g7Cae7re09
Lovin' Her Was Easier (Than Anything I'll Ever Do Again),Waylon Jennings,spotify:track:5bSjmnoImuXJXroXA2uaAs
(Don't Let the Sun Set On You) Tulsa,Waylon Jennings,spotify:track:29XDDOcKtVf91fP2zypqMj
Sweet Dream Woman,Waylon Jennings,spotify:track:0zRWHRX4aX9nn1hYdsc7Ry
Under Your Spell Again (with Jessi Colter),Waylon Jennings,spotify:track:6nALDc6WA2sOiHgAtOAjSD
Pretend I Never Happened,Waylon Jennings,spotify:track:11C0Qn1bkZ2yPhptlsJWlq
We Had It All,Waylon Jennings,spotify:track:4QUnpR9QxKoIWnrCvSs6h3
It's Not Supposed To Be That Way,Waylon Jennings,spotify:track:3oa8NDypliVnz1WMipVDzK
Slow Rollin' Low,Waylon Jennings,spotify:track:5HXd9rBn5NM7tZ6elnZ9f0
Are You Ready for the Country,Waylon Jennings,spotify:track:5paXckVUlnYJfUybwXrSoI
I Ain't Living Long Like This,Waylon Jennings,spotify:track:0IRcT2VHcW00glMxrdBu83
Connie,Commander Cody and His Lost Planet Airmen,spotify:track:79H2RJRXfzVGfONred0so5
House of Blue Lights,Commander Cody and His Lost Planet Airmen,spotify:track:6oyecIpQS84SqXV2GukGsh
Girls Today - Don't Like to Sleep Alone,Doug Sahm Tex Mex Trip,spotify:track:30oh2KnywHcwte9TbzDUXB
I Had My Hopes Up High,Joe Ely,spotify:track:6zRNN1lrcuiut3ks9Wi0EJ
Tonight the Bottle Let Me Down,Waylon Jennings,spotify:track:5rF7hPs1SWWZZqmegjVVFL
Freedom to Stay,Waylon Jennings,spotify:track:1FAmKoufyAXMfzPPs9bsjA
Moanin' The Blues,Merle Haggard,spotify:track:1CwnEUxgc5HstR943B7LtO
Goodbye Lefty,Merle Haggard,spotify:track:6CS1TrtRiYEyEoTIahgtnO
The Legend Of Wooley Swamp,The Charlie Daniels Band,spotify:track:15rq5I9f5h6KrsarWqAz9d
Midnight Again,Chris Hillman,spotify:track:0EZ1K4qdbp8khDT3Q0QoWM
Take It on the Run,Chris Hillman,spotify:track:2jMt1YCwcKpmqLXCP96K42
White Line Fever,The Flying Burrito Brothers,spotify:track:5z3kHR2Gh892XGcYuln1Gf
Tried So Hard,The Flying Burrito Brothers,spotify:track:4v4ssibf1FAkxisrqeMPhh
Can't You Hear Me Calling,The Flying Burrito Brothers,spotify:track:7L9jg2ZII2opYuPFs00lvM
A-11,Johnny Paycheck,spotify:track:7E0yeuDMiLT9waeS2OVDdD
A Good Year For The Roses,Johnny Paycheck,spotify:track:30orqXTRk69zSlRgjt08F6
Fingernails,Joe Ely,spotify:track:6gkwH2dWw6yuOLQsgrq0KI
Honky Tonkin',Townes Van Zandt,spotify:track:2bgFyUfHmxNKAPSZGnSLB6
Don't Fence Me In,Willie Nelson,spotify:track:3Jntkny7lSLUKqVbcyx5h2
Stardust,Willie Nelson,spotify:track:7iyd0aOJ2J54hENgLeGxCk
Georgia On My Mind,Willie Nelson,spotify:track:5GOFil3Umfp4yB75U2Ah4e
Blue Star,The Charlie Daniels Band,spotify:track:4Np8BmQkc48zPd5qD1l358
Two More Bottles of Wine - Remastered Version,Emmylou Harris,spotify:track:62buMnGJ9bLrZAV03fGjYc
Tell It to the Devil,The Marshall Tucker Band,spotify:track:5mqwEdKVmSHuQVIcMnhpGJ
Lost In The Ozone,Commander Cody and His Lost Planet Airmen,spotify:track:5gbMlNiBohtOKuXzAvwMwE
Texas 1947,Guy Clark,spotify:track:55kOMFLL5k4eTYnt8WY7iB
Polk Salad Annie,Tony Joe White,spotify:track:12wB4syL3O9w54bpe1tmZX
California Cottonfields - Live,Gram Parsons,spotify:track:1dWbER1716VULP0KZ0PvcE
11 Months and 29 Days,Johnny Paycheck,spotify:track:3Rheq7fcu2GIifRlD8Yty7
Don't Ask Me Why (I'm Going To Texas),Asleep At The Wheel,spotify:track:6YtVPrI1lFkp7qFKTPPxGn
Marie Laveau,Bobby Bare,spotify:track:6yFIzIxyTVRfVeSTTvtEBt
I Still Sing the Old Songs,David Allan Coe,spotify:track:4SnumrudjmJS3dmaK9St5P
Easy from Now On - Remastered,Emmylou Harris,spotify:track:5VEUwTxuC4AVsYcYCDMUlk
Why You Been Gone so Long,Jessi Colter,spotify:track:33HkPcuNKgnPT81H9pO9SL
Back in the Goodle Days,John Hartford,spotify:track:0B6BeEUd6UwFlbsHMQKjob
No Place to Fall,Steve Young,spotify:track:295vaNU7AICDcyAG9836Mz
Rode Hard and Put up Wet,Marshall Chapman,spotify:track:2YwuLjgUJYlS9AQFLW1MxX
Too Much Fun - Live,Commander Cody and His Lost Planet Airmen,spotify:track:4bVxL55x2kayrARltgbvp1
No Expectations,Johnny Cash,spotify:track:6UmM8fLNocoX84m63pvuQK
Pretend I Never Happened,Willie Nelson,spotify:track:106Qw7R1gG8JAIG3H7yNwt
She's All I Got,Johnny Paycheck,spotify:track:5lH8Maw1VX0QUeV5qAypDZ
If You Think I'm Crazy Now (You Should Have Seen Me When I Was a Kid),Bobby Bare,spotify:track:4TsflUal5C3OKT7zh0TVjp
Face to Face,David Allan Coe,spotify:track:5vXGhynEJeQmtExG7eyiYc
(She Finally Crossed Over) Love's Cheatin' Line,David Allan Coe,spotify:track:6cElDHmiZe35NUwCw1ALou
"Jack Daniel's, If You Please",David Allan Coe,spotify:track:5IWb5kwXz1UgsXVyrMvpKi
Why Me,Kris Kristofferson,spotify:track:6uMKkOEkPJRumFvAzo5nr9
She's Actin' Single (I'm Drinkin' Doubles),Gary Stewart,spotify:track:7dZgDd8LYriRdR2kDSQjxx
Panama Red,New Riders of the Purple Sage,spotify:track:70hZyH0RrThMYtxqv5OGYb
Texas (When I Die),Tanya Tucker,spotify:track:7iinaW517AH0bUXbAKN8JB
Long Time Gone,Richard Betts,spotify:track:04Dtv1fKLe7aBoRAna7E1U
It's Gonna Be Easy,Doug Sahm,spotify:track:37Ts5bHBySEbybTALSvlQl
Willin',Commander Cody and His Lost Planet Airmen,spotify:track:10JSZpgIr0NZb3JqP0lT3K
Bandy the Rodeo Clown,Moe Bandy,spotify:track:0oMlYISr05DwKwyAPfhGNL
Seeds And Stems (Again),Commander Cody and His Lost Planet Airmen,spotify:track:3Q4uEvuGGTGdfJUcQtOcUo
More Than a Feeling,Boston,spotify:track:32kgOw8wejH7zUhtXCM8DH
One Love / People Get Ready,Bob Marley & The Wailers,spotify:track:2iSXgduBpKrwJuQcuybkxP
Mamma Mia,ABBA,spotify:track:22NN4BS1AlqVbyKIWExgON
Night Fever - 2007 Remastered Version Saturday Night Fever,Bee Gees,spotify:track:66wpCqkkM6MrxXSbfgmsrh
Moonage Daydream - 2012 Remaster,David Bowie,spotify:track:6mib3N4E8PZHAGQ3xy7bho
Ballrooms Of Mars,T. Rex,spotify:track:2PmGtDUyJIpYBEtI1hQIVp
Barracuda,Heart,spotify:track:27BiHcQDEkxVn69zy1t3Es
Greased Lightnin',John Travolta,spotify:track:5A3XwVCzBoeg6Tru5VXVLX
Fame - 2007 Remaster,David Bowie,spotify:track:7qVOasZcHa4faF1TqvPEKF
More Than a Feeling,Boston,spotify:track:1QEEqeFIZktqIpPI4jSVSF
Carry on Wayward Son,Kansas,spotify:track:4DMKwE2E2iYDKY01C335Uw
"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",Cheap Trick,spotify:track:6TBJCwgdhwkzjpSjdqJUHC
I Wanna Be Sedated - 2002 Remaster,Ramones,spotify:track:4jDt1y2gCPiqC3PgWuzLjW
Pigs (Three Different Ones),Pink Floyd,spotify:track:0gEaeqVRHPzRc7HMXtOKc7
Somebody To Love - 2011 Mix,Queen,spotify:track:6cFZ4PLC19taNlpl9pbGMf
We Will Rock You - Remastered,Queen,spotify:track:4pbJqGIASGPr0ZpGpnWkDn
Roxanne - Remastered 2003,The Police,spotify:track:0SYRVn2YF7HBscQEmlkpTI
Black Dog - Remaster,Led Zeppelin,spotify:track:3qT4bUD1MaWpGrTwcvguhb
Immigrant Song - 1990 Remaster,Led Zeppelin,spotify:track:6kjlvJLh2DBsSQtqVzFh8I
The Joker,Steve Miller Band,spotify:track:1bp2IO61zbQrbWNmKKxg3f
Last Train to London,Electric Light Orchestra,spotify:track:6xE6ZWzK1YDDSYzqOCoQlz
Too Much Heaven,Bee Gees,spotify:track:2YkMr3ooNqTvWtyeZYvd6s
You Should Be Dancing - Edit,Bee Gees,spotify:track:2xiOdusRnZezQok1RgLNeS
Tragedy,Bee Gees,spotify:track:0myxmqJXXImGNhmUY40MuB
Y.M.C.A.,Village People,spotify:track:4YOJFyjqh8eAcbKFfv88mV
Yellow Pills,20/20,spotify:track:5FddI3pEApza2kSmc4HgUY
Lights Out - 2008 Remastered Version,UFO,spotify:track:1OiXstIrdWPR7Sl4V2UhI1
Too Much Too Young - 2002 Remastered Version,The Specials,spotify:track:7ypOIgX0ynxgYiQd7ltAQJ
Uncontrollable Urge,DEVO,spotify:track:1RG1Pz45nlYNHka7JioyOT
Gut Feeling / (Slap Your Mammy),DEVO,spotify:track:2vFaBeQqDVZW9SiJeiM4LU
One Step Beyond,Madness,spotify:track:1G6eFFDRaLr9EbThnhzMBD
Dancing Queen,ABBA,spotify:track:4NtUY5IGzHCaqfZemmAu56
Smoke on the Water,Deep Purple,spotify:track:5SAUIWdZ04OxYfJFDchC7S
ABC,The Jackson 5,spotify:track:6wDviYDtmSDZ0S6TVMM9Vc
Blitzkrieg Bop,Ramones,spotify:track:68YFOeWusWCFxK4TSYZZBU
Take The Money And Run,Steve Miller Band,spotify:track:2dV6oLMaJjV15KCVzcWLbF
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,spotify:track:5cP52DlDN9yryuZVQDg3iq
Rasputin,Boney M.,spotify:track:5jkFvD4UJrmdoezzT1FRoP
Le Freak,CHIC,spotify:track:28NBmftocOzTPEb6OYA9fW
Boys Don't Cry,The Cure,spotify:track:1QFh8OH1e78dGd3VyJZCAC
Take A Chance On Me,ABBA,spotify:track:6vQN2a9QSgWcm74KEZYfDL
Rivers of Babylon,Boney M.,spotify:track:78His8pbKjbDQF7aX5asgv
Hot Stuff,Donna Summer,spotify:track:2vaHFRlL8eLXKLhZ47CtpO
You Can Get It If You Really Want,Jimmy Cliff,spotify:track:2QKh6t4JnWeTnzQpkNXhzW
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,spotify:track:2PzCOP5Aj9SABiBgNEZ52G
No Quarter - 1990 Remaster,Led Zeppelin,spotify:track:2fQ2iALVbAZ7MkH6PaaIJ6
Lean on Me,Bill Withers,spotify:track:3M8FzayQWtkvOhqMn2V4T2
Lady Marmalade,Patti LaBelle,spotify:track:3GGcwG519BTMdvMeFy7meT
Let It Be - Remastered 2009,The Beatles,spotify:track:2xAEMttFb293s8FmbH8tgX
Goodbye Blue Sky,Pink Floyd,spotify:track:0ESdtt9cjGZUkUbaubSrv2
Young Lust,Pink Floyd,spotify:track:3xGJuHvSxFJxxYlHj5BIoT
Don't Stop Me Now,Queen,spotify:track:43DHLzDkncpby82Po5jlOZ
Aja,Steely Dan,spotify:track:51AIqs0TqA4TI552nerCqa
Still In Love With You - Live,Thin Lizzy,spotify:track:3pwzNvsejMZWODkO18ilCs
Gimme Three Steps,Lynyrd Skynyrd,spotify:track:0x2wtJbtJrox3SDmnMj97x
Ramblin' Man,The Allman Brothers Band,spotify:track:2Q7LpkYrS0PBpoq3iCqypa
Aqualung,Jethro Tull,spotify:track:5UuikgHTxSRFRnC0zXx10i
Free Bird,Lynyrd Skynyrd,spotify:track:5EWPGh7jbTNO2wakv8LjUI
From the Beginning - 2015 - Remaster,"Emerson, Lake & Palmer",spotify:track:0Ll60pqkEBHqzdeclRHdnl
Old Man - 2017 Remaster,Neil Young,spotify:track:4RIp4UTguC0F6TRV7xfKjv
Takin' Care Of Business,Bachman-Turner Overdrive,spotify:track:5Lk0ZGm0xF3EvOg9xXiXcR
Life on Mars? - 2015 Remaster,David Bowie,spotify:track:3ZE3wv8V3w2T2f7nOCjV0N
Sound and Vision - 1999 Remaster,David Bowie,spotify:track:2JzZ8UTEb1GGvR8Ra0Nfy2
I Loved 'Em Every One,T.G. Sheppard,spotify:track:4td6tN1J2QlESZyUhlD77m
Stranger,Johnny Duncan,spotify:track:1yWqggNLRBQvxHI4IA0pzL
Seven Year Ache,Rosanne Cash,spotify:track:2bYp7DYfjXULM24FUh9Z3Q
Texas In My Rear View Mirror (Bonus Track),Mac Davis,spotify:track:6G6txAgWVFlaX2uCqfMc2Z
Drivin' My Life Away,Eddie Rabbitt,spotify:track:3PJ9yQv8IUmLx24KFvaVEI
Rocky Mountain Music,Eddie Rabbitt,spotify:track:3373VKGKgKdlBHccBgh645
Drinkin' My Baby (Off My Mind) - 2008 Remaster,Eddie Rabbitt,spotify:track:3C3CBjLYbHGEHXJzLeXmMq
Pure Love - Remastered For Buddha - May 2001,Ronnie Milsap,spotify:track:2MmNec9D9QDfazXDXBbOxo
Delta Dawn,Tanya Tucker,spotify:track:7GH8qNOm2gEKryVUyVzkmt
You Look Like the Devil,Willie Nelson,spotify:track:2PSUiVSDtiKt16mTwi0ZS5
Walkin',Waylon Jennings,spotify:track:5RjuUwFr6fcbpbdWvN1lB9
Jack-A-Diamonds,Waylon Jennings,spotify:track:4eqc9yVevvxFqBdyIWueQF
It'll Be Her,Waylon Jennings,spotify:track:3OKuWhudVOq3FP1j3Ytqck
Sandy Sends Her Best,Waylon Jennings,spotify:track:05qM5R53jyYjymJRfXsDnX
"Dropkick Me, Jesus",Bobby Bare,spotify:track:1Bapff842CesYdnH07keB5
¿Y cómo es él?,José Luis Perales,spotify:track:0UUJju7jtTViPCdauXKVZ1
Un Beso Y Una Flor,Nino Bravo,spotify:track:5IU4JO2cpa0wPK8oQWFfCr
Vivir Así Es Morir de Amor,Camilo Sesto,spotify:track:3yzHIAzk3zVE1WgspS8W21
¿Quieres Ser Mi Amante?,Camilo Sesto,spotify:track:1Y7q2zwCBjt9zgIHZ0Ku7J
Un velero llamado Libertad,José Luis Perales,spotify:track:6O4LIYBSFROdVpxAUnG3oZ
Libre,Nino Bravo,spotify:track:1uAjXdRxH2PBCKGSWPagGJ
El Triste,José José,spotify:track:0aTMBEfPCCkKkneU6gLmDD
Mediterraneo,Joan Manuel Serrat,spotify:track:7Bewui7KtaMzROeteRitRz
Algo de Mí,Camilo Sesto,spotify:track:2ZZ7RjQOIkQQM3Wd4tXaZe
Y te vas,José Luis Perales,spotify:track:0AlxkpxyHszvNIuHxBHuDK
Me Olvide De Vivir,Julio Iglesias,spotify:track:0kVOor973ijVqOBhYqvaE8
Jamás,Camilo Sesto,spotify:track:0ScrUVrcTYIZijbqDZ3CJE
Me llamas,José Luis Perales,spotify:track:1Dlh7BkGvWBzWi8UxUP6EO
Mary Es Mi Amor,Leo Dan,spotify:track:7rtaRzuEKom36ZmQSmL6EB
Gavilán o Paloma,José José,spotify:track:4Wg6Ggb6DY8OmlFQvvHO9b
El Amar y el Querer,José José,spotify:track:7wUt1v2ddVqPayC8EKDp5P
Noelia,Nino Bravo,spotify:track:2H6pXO5yKat03sbr1ERzZv
Beso a beso... dulcemente,Paloma San Basilio,spotify:track:5jY16zDOTWeHKArHy5Rjw3
Te Quiero Tanto,Ivan,spotify:track:69GXCPQD5UpeW0oX1M91J4
Te Quiero Te Quiero,Nino Bravo,spotify:track:5ltBmvHslf7tplG5QfLmTt
Adiós Chico de Mi Barrio,Tormenta,spotify:track:7nYFnK9zrjo5KbUWrSYPHD
Yo no soy esa,Mari Trini,spotify:track:4wJNcICQAv1ZNj8tkoMJab
"Vuelvo a Vivir, Vuelvo a Cantar",Sabu,spotify:track:0IBaX8qf0ABH1xFdnhq1Y7
"Cuando Quieras, Donde Quieras (Cosi' Era E Cosi' S",Dyango,spotify:track:3akNntAza319MgjivWphIH
Brindo por Tí y por Mí,Tormenta,spotify:track:0yKBkX8Hzgsl5wSow1Qrpa
Esta Cobardía,Chiquetete,spotify:track:7xT0YNKaOkvntYehrbRWen
"Todo el tiempo del mundo ""Soleado"" - Remastered 2015",Manolo Otero,spotify:track:3sjMzoWNoKIiyzJLE28CMX
No soy de aquí,Alberto Cortez,spotify:track:54vgIR3osHwRywPcBxVrv3
Amiga,Miguel Bosé,spotify:track:3Pr70knS8uTSiKbwf4rGav
Quiereme Mucho - Yours,Julio Iglesias,spotify:track:1oBYY1qxWRkeYr94yl5rMS
Cuerpo Sin Alma,Riccardo Cocciante,spotify:track:5Pix8dxnQlFC1NCdiAsxbT
Yo Tengo Fe - Que Todo Cambiará,Palito Ortega,spotify:track:106CA3NHjRGZUgBoNB5jdL
Adolescente Tierno,Tormenta,spotify:track:5f7zRJN3DftQixkmTgXEjY
Te Juro Que Te Amo,Los Terricolas,spotify:track:3slDIEuZJqMRq0P0UI8Ps9
De Boliche en Boliche,Los Náufragos,spotify:track:6wWL6ft6FV7WoWd9R4Mv9L
La Tarde Que Te Amé,Industria Nacional,spotify:track:1AXLfboOfuVjS5LwOr9PJi
Prometimos No Llorar,Palito Ortega,spotify:track:146juSboNtWC5Ba5e6poPO
Linda,Miguel Bosé,spotify:track:5xUq5PLTPA7CTlAXihrxSD
La Vida Sigue Igual,Sandro,spotify:track:0vjbYWVR4N08uWureijhBX
"Soy un Truhán, Soy un Señor",Julio Iglesias,spotify:track:2XDrvJ6uhiwVLNj25eDCLW
Como una Chica y un Muchacho,Tormenta,spotify:track:0ix3KPfZwSA7u1q3oID4Ok
No Renunciaré,Lolita,spotify:track:69UaUdQG6hrlUYHRMYAVKX
Es el Amor de Verdad,Sabu,spotify:track:3FwfQgpa7L5uThFvXWPW8X
Te he querido tanto - Remastered 2015,Manolo Otero,spotify:track:7kU6fz3NqYFoa5bHtvoDg6
Siempre en Mi Mente,Juan Gabriel,spotify:track:5vmqRHDrMgdbw3CIvQycbj
La Mujer Que Yo Quiero,Joan Manuel Serrat,spotify:track:7woFqgcnG5w6xBGHC2wlXY
Esperanzas,Pecos,spotify:track:2DsLJjeOPeu7lFUjK4QybV
Tu,Umberto Tozzi,spotify:track:0ZZsGEpFws0EDn7Kos1U2z
"Llegando, Llegaste",Piero,spotify:track:2N0r8LeVGHa8IA5Y6pGVcQ
Llorarás,Los Terricolas,spotify:track:2avnbTB2bVyKI2nz553XuH
Háblame de Ti,Pecos,spotify:track:7EWKAYWmUc1cTfEimTKvou
Blank Generation,Richard Hell,spotify:track:7wLBPjReJhdkFtrGHgUcxG
I'm Straight,The Modern Lovers,spotify:track:4wWisKZyI4nUsc4wZ4kyGE
Pablo picasso,The Modern Lovers,spotify:track:3ITpdojeIb2w29zbZPWAdA
Roadrunner,Jonathan Richman & The Modern Lovers,spotify:track:2A0VyjrAJQPXVKxRzxEePG
Government Center,Jonathan Richman & The Modern Lovers,spotify:track:1IoXBuHRJer8nGI7hUYUJC
Pablo Picasso,Jonathan Richman & The Modern Lovers,spotify:track:6J5kwePDEgPdaL1cZi9V0i
Numero Uno,Creme Soda,spotify:track:0Kp3JelxE9qHxXyw13ciey
Pills,New York Dolls,spotify:track:7hYU5eAJFciz5veXsatDqA
Evil Hearted Ada,Flamin' Groovies,spotify:track:4vjSOBW67QeTKAkPQYSMsD
Bad Detective,New York Dolls,spotify:track:64Zedu5nSzGeR8rNj0Y1No
Walkin' the Dog,Flamin' Groovies,spotify:track:5Lbf4KSRaNbXxG832VXiSz
Jet Boy,New York Dolls,spotify:track:4NrdSs0zi3IVXbGoUBtqL2
(I'm) Chewin' Gum,Creme Soda,spotify:track:1ZwbHkrd040N7MrIlkRzQ6
Personality Crisis,New York Dolls,spotify:track:0tsHAAhdxSzwHAeHHXKbsw
That'll Be the Day,Flamin' Groovies,spotify:track:4KOWQHmojlvXcQxkbLSvBF
Hurtin',Johnny Thunders,spotify:track:2vkqQgJjmcJER3PZJZy6M3
I'm Straight,The Modern Lovers,spotify:track:2YM0kfevj552icN9DisbT9
She Cracked,The Modern Lovers,spotify:track:0TxnjSeZXBJkojjHV9GEhq
It's the New Thing,The Fall,spotify:track:5aKgvyuK6F8FQIkHBrC6tE
When the Sun Shines,Creme Soda,spotify:track:1AV4IT2BPNkH3rYnDM416B
The Nazz Are Blue,Creme Soda,spotify:track:2ZBRENM9e1CK3FvV6eUiSo
Carol,Flamin' Groovies,spotify:track:46OUckDwzWbR1jeFjm0ixd
Burst,Magazine,spotify:track:0fQPMoMpHV0wJuh3YmcPws
Astral Plane,The Modern Lovers,spotify:track:4z9o4sijfni4kGSos3VEDB
(There's Gonna Be A) Showdown,New York Dolls,spotify:track:3SpYUpfLZmN4531RKmEict
Trash,New York Dolls,spotify:track:2iZHbEXfRYmvZ3op4WgkTW
Private World,New York Dolls,spotify:track:2KMeiNYZ34h2X9OaReUdu3
It's Too Late,New York Dolls,spotify:track:5rkMSg2H9HXELt3evVs46F
Gloria: In Excelsis Deo,Patti Smith,spotify:track:40P5fjk0H3Zo7yBW9zQbBR
Don't Bring Me Down - 2015 Remaster,David Bowie,spotify:track:2Z7kxLayO87K0553Cfs53v
I Heard It Through The Grapevine,The Slits,spotify:track:4GRnCW4Alb5vcfptFytJdl
In Love,The Raincoats,spotify:track:6WhnZL1squnpYrJfhdLGak
Like Any Other,999,spotify:track:7smGG8D40RvQxEzSjvMTTm
Lust For Life,Iggy Pop,spotify:track:570LZW7MNIdRUYVEr3BNnQ
Vitamin C,CAN,spotify:track:0N9w2k0qrAYDHUyliycGD5
Raw Power - Iggy Pop Mix,The Stooges,spotify:track:3BnVqaDfgKyI4CFCfozors
My Guitar Wants To Kill Your Mama,Frank Zappa,spotify:track:6TXBbGLm89krX2OzBt5eMo
I Wanna Be Your Boyfriend,The Rubinoos,spotify:track:6DQGXkbpm17wYHc1TrNPaN
Going Back Home,Dr. Feelgood,spotify:track:5g3LDYg0JQaXLXx0YAAraG
Day In Day Out - 2001 Digital Remaster,XTC,spotify:track:0cvLMD0XvQH8aKHLH1BlG5
I'm Bored,Iggy Pop,spotify:track:6GVfe1CSI7n6G8818mPArW
California Sun,The Dictators,spotify:track:689vEbKL2tIspFwZhIp3yx
(She's a) Runaround,The Undertones,spotify:track:2JavlKLG5VxJiLTsCiWbG9
London Boys,Johnny Thunders,spotify:track:03edIXCV0arIFmmi75OFab
Planet Queen - Remastered,T. Rex,spotify:track:5vqGXUifO0oYEQ2uMTDCp4
(I Can't Get No) Satisfaction,DEVO,spotify:track:5FzBxhIsZBFXDTVGWtV4IQ
I Don't Wanna Be Learned / I Don't Wanna Be Tamed - Demo; 2016 Remaster,Ramones,spotify:track:1UAjHXyT5Wum6nSY8Qt1zI
Hong Kong Garden,Siouxsie and the Banshees,spotify:track:6zQhANi5mDTELfSuUFPx4Q
Hanging Around - 1996 Remaster,The Stranglers,spotify:track:4OvQsAObGMF3dpkCV6DZzb
Don't Stop Me Now - 2011 Mix,Queen,spotify:track:5T8EDUDqKcs6OSOwEsfqG7
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,spotify:track:7r5bS08R8d0jZuDZutVeHQ
Far From Over,Frank Stallone,spotify:track:3BGgBPeVIIraIgJxhfXhgo
(Don't Fear) The Reaper,Blue Öyster Cult,spotify:track:5oI1A8G8jH5rxt35dPiHIB
Tragedy,Bee Gees,spotify:track:6UXXeFqMBGiqjkzQzkMT3E
Hot Stuff,Donna Summer,spotify:track:2zMJN9JvDlvGP4jB03l1Bz
Oye Como Va,Santana,spotify:track:6ls1CRgRmqw9QHmBjKS2Qi
When the Levee Breaks - 1990 Remaster,Led Zeppelin,spotify:track:5yM7n12a0w0ZIxgwoobENF
The Chain - Live 1977,Fleetwood Mac,spotify:track:5m5XW67LO8x72K0GusruVA
Gold Dust Woman,Fleetwood Mac,spotify:track:7yldS1GOKvs0A9LOY07iCA
Keep Me There - With Vocal,Fleetwood Mac,spotify:track:0dWvx5jqTaBhmC8NG9O8AB
Just For You,Peter Green,spotify:track:4Jz3TymQMLbuzjrWcJovw0
Slabo Day,Peter Green,spotify:track:7BlH3QgxUQIHjBhe1jEW6r
In The Skies,Peter Green,spotify:track:3E1xBRTP7PaXrXcqxd4b2S
A Fool No More,Peter Green,spotify:track:3qK1Ol7jPQSVkdk5F7BPEY
Hope You're Feeling Better,Santana,spotify:track:6HOjDjWIHzex60FdajgexB
No One to Depend On,Santana,spotify:track:4qojAoMIGIpIPpfaHe3DFq
Taboo,Santana,spotify:track:1qieXe4uuifWzGMXwtFMrL
Right - 2007 Remaster,David Bowie,spotify:track:555dmK5aGGxerwG1gyfyR9
Wild Is the Wind - 1999 Remaster,David Bowie,spotify:track:7uurJfwCTZ0iqVJlu6kj3k
Golden Years - 1999 Remaster,David Bowie,spotify:track:1hlG7OWNQYhY01ZOd7JL6S
The Guns of Brixton,The Clash,spotify:track:59Sp9ErfFOa95W9cAxUmPq
London Calling,The Clash,spotify:track:3Kr9P2blunzFYEKQygbOoP
Train in Vain,The Clash,spotify:track:70LBXiKbiidyYbmpNU3TbN
"Down On Me - Live at The Grande Ballroom, Detroit, MI - March 1968",Big Brother & The Holding Company,spotify:track:5QWXGckgZz97tE2Dzvr8zI
"Summertime - Live at The Carousel Ballroom, San Francisco, CA - June 1968",Big Brother & The Holding Company,spotify:track:4Mro84fzF8WCIS4QHIx5OF
I Heard It Through The Grapevine,Creedence Clearwater Revival,spotify:track:4nufOE7BPyX0Anh6ZTY7kZ
Showdown,Electric Light Orchestra,spotify:track:13tnv0a8pXDcnvn1W7gCCO
Showdown - 2003 Remaster,Electric Light Orchestra,spotify:track:2j3O83dYETyYooYCQVLFNx
School,Supertramp,spotify:track:2pNtf9j22cPJ2M8nkE5X1e
Season of the Witch,Al Kooper,spotify:track:5o2a59EwwRXdDlBiAWjd3W
Milk and Honey,Bonnie Dobson,spotify:track:4GWag7BzYNbnehbSWqjwd4
Give Me The Chance,Donnie & Joe Emerson,spotify:track:719xOHsYh4WqlNG1ngWodz
