HÃÂÃÂ©roe de leyenda,Heroes Del Silencio,spotify:track:6pAvXn45z0sktftypuEEzt
Karma Chameleon,Culture Club,spotify:track:4NH4xiPQ7TqNGqj6pZV4ki
The Visitors,ABBA,spotify:track:4lC9s3vwDa16w2G33KfF9C
Gentle Tuesday,Primal Scream,spotify:track:3DoVsoTmBNbPUIEZPNE1JX
Miracles Explode - House Vocal,Tina B,spotify:track:2mO5LufbdYuMNGdep2d8Jd
Come And Get Your Love - Original Extended Version,Boys Town Gang,spotify:track:1uPI7DzmyDecMUrt1hxHn8
Strong Me Strong,Yellowman,spotify:track:0fiF1vXtD1sAB0JZFLkYtX
Time and Time Again,The Monkees,spotify:track:4sSUl0d94dW7QKYtWDWMT5
Rocket Queen,Guns N' Roses,spotify:track:5j6WdDC183izbbjedKsSAe
Baby Don't Say Goodbye,Dead Or Alive,spotify:track:3NyAMTnpxaGRqo0P2DKawN
Baby Talk - Extended Dance Mix,Alisha,spotify:track:0qZjI2OW5qyBlxpTCYeDai
Brilliant Mind,Furniture,spotify:track:5QC8hqrXrQY7GruIIh6rXj
Breaking and Entering,Dee Dee Sharp Gamble,spotify:track:4179Rlp4pNDLYvfIVHX8yC
Torture,The Jacksons,spotify:track:79rIsbqmsjvz8umdE91J2s
Abigail,King Diamond,spotify:track:1ocKVM8apJb2y0zBZHgXU4
Tales of Tears,Fiction Factory,spotify:track:5csKn4GicD1qj22Xf2stua
Negative Creep - Remastered,Nirvana,spotify:track:0xdiLQkal65DtxcIqpIxxb
Tarzan Boy,Baltimora,spotify:track:273uCXd7NPrInaiNqtkOrA
The Sinking Feeling,The The,spotify:track:1EaZZUka3r2yUCjge7ZrZQ
L'amour ÃÂÃÂ  la plage,Niagara,spotify:track:4mII9EfvzMukROnehYgqG3
"Centipede - 12"" Version",Rebbie Jackson,spotify:track:34ItHlm5kzSTS0dIlAV4ee
I Can't Take It - Vocal / Long Version,Janet Wright,spotify:track:38Bm3dNIk285CedBEjeuhe
Streets of Your Town,The Go-Betweens,spotify:track:28p1SLbMO6siuihTjX5FQF
And She Was - E.T. Version,Talking Heads,spotify:track:4iGtwo70bskozptSgxh3J0
Tengo Mucho Que Aprender de Ti,Emmanuel,spotify:track:127zdFhu4TJ6RAzi1BOKlY
Rock the Box,Sylvester,spotify:track:6gzUi6an8slC9kR2A2GLiE
Yeah Whatever,Moev,spotify:track:4ExaE4zS6uQYypRGvRp0va
Extraordinary Girl,The O'Jays,spotify:track:02Sp1TQbp8NtfEfEsxvIE1
Fall On Me,R.E.M.,spotify:track:181ERlg2wowFuRobnrMZJ2
"When the Rain Begins to Fall - 12"" Vocal Version with Breakdown",Jermaine Jackson,spotify:track:3fpvAT82XMB4AbmlH4dYYv
Shake The Disease - Remixed Extended,Depeche Mode,spotify:track:2WjIonRdr8y2KssFbsUiHm
Die Young,Black Sabbath,spotify:track:0mjBcIFPAzqvSn6aBk7l7g
"You Don't Remember, I'll Never Forget",Yngwie Malmsteen,spotify:track:6XX9WLJfelrfwZJEIdInmK
Ella TambiÃÂÃÂ©n,Luis Alberto Spinetta,spotify:track:4y1ze4JPCe7XVv28VlZ4k0
Decades - 2007 Remaster,Joy Division,spotify:track:5sQ6ETCq6U2RZfRAFDepaW
Motel,The Connells,spotify:track:0pgjUMcYUWuB2zTEbMhE4J
"Violence, Easter And Christmas",Gangway,spotify:track:0t7Zb0MWvWXTRaNlNhi2Vr
Flesh And Blood,Roxy Music,spotify:track:5bV8YiilMeLZV4ER6uWSTr
It's Alright,Gino Soccio,spotify:track:4fDOrUhkwm3GsjrupnDf5x
Drowning Butterflies,The Cleaners From Venus,spotify:track:1QgZT5q6IjprTOCVYd5xjq
Hold Me - 2016 Remaster,Fleetwood Mac,spotify:track:2zYCip88nwoF96SC7WEjJm
Sun And Steel - 1998 Remastered Version,Iron Maiden,spotify:track:3XbuNo1t4ijE5haKRuA4gU
Rock And Roll Hell,KISS,spotify:track:1ZpRHJlMOk6lkcRa1YSgxd
Veteran of the Psychic Wars,Blue ÃÂÃÂyster Cult,spotify:track:1bPUK3zBMK73QXmCLzqffn
On the Beach,Chris Rea,spotify:track:5QrNXvTQEuBb5iLoIAAuvk
Get a Little,Patrick Cowley,spotify:track:1r9Z48hDzySVaxEbuPHKch
Blue - Love Mix,Vicious Pink,spotify:track:2jgruDH9T7gCuvKUjo3ns1
We Care a Lot,Faith No More,spotify:track:2z1uVu3OwTmPlfqt5TWk5k
Running On The Rocks,Shriekback,spotify:track:19zEsUUGNxjZeIAtf8KzaR
Rip It Up,Orange Juice,spotify:track:1eamsmwcYYhJwTgMFdQ6YN
Watching the Wildlife,Frankie Goes To Hollywood,spotify:track:1ISwjy0JXbOC23sMwtKYU0
Skywriting,The Bible,spotify:track:3vzU9cowh1IBetf5lXU6rv
Go on Girl - Remix,Roxanne Shante,spotify:track:3a1vooOy2GxT0i6LaNH8ZW
Charlotte Sometimes - Single Version,The Cure,spotify:track:1rs7lqaXBlcw1N9wuHiQyJ
Reptile,The Church,spotify:track:29Znt9AbEH9FSsw86zPAYT
Long Voodoo Ago,Lizzy Mercier Descloux,spotify:track:0F1gKbNGunXZPQ2kRY8kgO
Happy Together,Odyssey,spotify:track:3lR3mJck4h8mh80FeNmdBd
A Song From Under The Floorboards - Remastered 2007,Magazine,spotify:track:2vMdVp2b2lg1olrNttrGg8
Surrender,Suicide,spotify:track:4QRO73C82pI3OCHo0njVlS
Stay Clean,MotÃÂÃÂ¶rhead,spotify:track:1w0KTJxx7Uqxyc8pBjjJVj
Glory of Love,Peter Cetera,spotify:track:1eyq8cjUQ2daFthW2PC2GM
Cold World,Jamie Principle,spotify:track:7wDoctvsIHSqGAYOKgNDN3
Kids of the Black Hole,Adolescents,spotify:track:7aDotQpUKpGFrOsrfQAxNc
I'm Housin' - U.K. Mix,EPMD,spotify:track:41GLQseS9EWI98UzP8B0bC
Never Stopped Loving You,Tyrone Davis,spotify:track:5o4VkA0aMxbMLNhDaeuTBN
She's Looking Like A Hobo,Malcolm McLaren,spotify:track:2rbEKZlYdlbtQoTT3iMo3U
Private Investigator,Graham De Wilde,spotify:track:7zHhpvu59OKXDG51LsXLTq
I Wanna Be Somebody,W.A.S.P.,spotify:track:395uj20WFZvffLXIGFD0u6
Scared to Death - Remastered 2015,Rage,spotify:track:1Da2eUctG4vrRdwaJXoj4c
One Thousand Reasons,The Sound,spotify:track:46LdUdiXqUzhEWRdx8NVNA
Let's Dance - 2002 Remaster,David Bowie,spotify:track:4cVHMHgmWgudD399ZdhQ3L
"Magic Touch - 12"" Version",Odyssey,spotify:track:3M4TxJ1IA0dcYaIxJkToHJ
Sea of Love - 2006 Remaster,The Honeydrippers,spotify:track:0VMGij4wSGBM5pSTcqjxeD
The Carnival Is Over,The Seekers,spotify:track:4rtnLe7BMoqxUj4Y8Wgqf6
I Love You More,Rene & Angela,spotify:track:0ccXHJcp98HBgEXVLUP3eH
Smashed Blocked(studio),John's Children,spotify:track:0REufRuUeGo2QwsZDAqDzk
My Love for You,ESG,spotify:track:7MuMGHlG7XlKirwnjYGWLh
IÃÂÃÂ´m Ready - Extended,Kano,spotify:track:6lQktxAz3ItfO5aaNXEOA6
Mirror Man - Remastered,The Human League,spotify:track:4FZOj1X9ypXqxAm45kUkdP
Photograph,Def Leppard,spotify:track:2iBpOXV6adH7V5rxyc5Cuz
Where There's Smoke There's Fire,Ava Cherry,spotify:track:4SmRmw2tfBVGYMD186oCUk
A Victory of Love,Alphaville,spotify:track:2Hf6NFGwSqZqFXp5at5J9h
The Jam Was Moving - Extended Version,Debbie Harry,spotify:track:4Naksg44ReQSn861Av4XQE
I Don't Wanna Leave You,The Time,spotify:track:0QyxyqEs1SBXb9wK8dxr9f
"S.O.S., Fire in the Sky",Deodato,spotify:track:28LCcPN2FZUPv0AB82z2Rt
Set Me Free,The Kinks,spotify:track:2WMF9NbGS3nnBjX0RGLPTk
The Sentinel,Judas Priest,spotify:track:6noDJ06v7z8bCsBitjxFG2
Still A Thrill - 1989 Remix Album Version,Jody Watley,spotify:track:0cbNQYfiNfzfRLg5NqPwRD
How Can I Fall ?,Breathe,spotify:track:62oGUBJQGPa3emMGMejBhm
Rattlesnakes,Lloyd Cole and the Commotions,spotify:track:3JocHDZrr2rpOK0xsiZK8T
Cry so Easy,Erasure,spotify:track:22OBgDrFwYcJJUqwYiLnux
You Are the Girl,The Cars,spotify:track:4Dvfdhc0DnWUSKZgDe6opm
"To Cut a Long Story Short - 12"" Version; 2010 Remaster",Spandau Ballet,spotify:track:2wTTsi2unilNmyDsFcQMkZ
Hoy he empezado a quererte otra vez,Dyango,spotify:track:4ec1AgDJzLLMnKrynHKZ7u
Hells Bells,AC/DC,spotify:track:69QHm3pustz01CJRwdo20z
La Primera Cosa Bella,Nicola Di Bari,spotify:track:1SGpEwVittlnVr7AU1XKyh
Fight Fire With Fire (Remastered),Metallica,spotify:track:0WSRrGVg1gO33MKIBPgBV2
Don't Bring Back Memories,Passion,spotify:track:11djprawb4qMb5e4CRwOCE
Steal Away,Robbie Dupree,spotify:track:3MshXF4YQRoFw82plcsUge
Yah Mo B There,James Ingram,spotify:track:5edioRF5SIeNzZafgd1Py1
Geoffrey Ingram,Television Personalities,spotify:track:5FjamOEDPDdvSbQPnERMA8
I Say a Little Prayer,Dionne Warwick,spotify:track:0Y32MApBw1Vfgaav9NHAEv
Fashion - 2017 Remaster,David Bowie,spotify:track:1MMYuuvnD3O9Sn90gDabv9
"Babe, We're Gonna Love Tonight",Lime,spotify:track:6jhy2hQxE7I47k7B9vxWtN
Spooky,Classics IV,spotify:track:5z4iT44mMHyZozsTFy4A51
Welcome To The Jungle,Guns N' Roses,spotify:track:0bVtevEgtDIeRjCJbK3Lmv
If This World Were Mine (with Luther Vandross),Luther Vandross,spotify:track:4fTPWK0B2Mg5Gulq8rarbb
Wo sind wir jetzt,Ton Steine Scherben,spotify:track:0EwdsX1eiSL4YcccAc7IrK
Warm and Gentle Explosion,Ullanda McCullough,spotify:track:3sol0jzqOgZNK9gVuERfzX
Where Do We Go?,Ten City,spotify:track:4N58shLUiu36Sc0tbWnAG3
Family - Stereo Version,Hubert Laws,spotify:track:4i9pSye2fyhC6y2k7FyENX
Harvester Of Sorrow,Metallica,spotify:track:6tVjcfkg648NG5bXrstJij
Culpable Soy Yo,JosÃÂÃÂ© Luis RodrÃÂÃÂ­guez,spotify:track:1ASbVP7bURAn44DmhqCNjY
The Glow of Love - Long Version,Change,spotify:track:2YQmjoX3dB7V4moU1Ntnct
Bedrock - Clubmix,Georgio,spotify:track:7IJ3QT79RITHpkvaXdq91P
Love of a Lifetime,Chaka Khan,spotify:track:3GhNbHLTEhrZhGOGQKzYpw
So Important - Extremley Important Remix,Sparks,spotify:track:2qJhMRUs9DtPRiHsNnbCdG
There There My Dear - 2000 Remaster,Dexys Midnight Runners,spotify:track:7sZa3zvNoLZI76DNhxCbeD
(You Are My) All and All (U.K. Club Remix),Joyce Sims,spotify:track:18WB1uJldgKh8M5EbDV4i9
If You're Thinking You Want A Stranger (There's One Coming Home),George Strait,spotify:track:7C318bpvzKleqi0sYaZh5L
Bad - 2012 Remaster,Michael Jackson,spotify:track:2gSNBigeWMVtY3QBIvPAEc
Dust in the Wind,Kansas,spotify:track:4E0lSJ6c5unoku9UIZoJSl
New Moon on Monday - Dance Mix; 2010 Remaster,Duran Duran,spotify:track:25310LOfvA2HXlTTpBl3SU
Hair,The Cowsills,spotify:track:5pjlEqTAOq1snQlcSMgF14
Never Gonna' Let You Go (Club Version),Chandra Simmons,spotify:track:2UV07g6VF5pPkrDDmLP0cw
All In Alabama,"Hank Williams, Jr.",spotify:track:6ySdPEskOpKlNcwJ6WeHGG
Vanity Kills - Abigails Party Mix,ABC,spotify:track:3HbYlyaB5XcnRwt1oemW6W
Whip It - 2009 Remaster,DEVO,spotify:track:7DAJJOyHFKwljvLfhtUUJB
(We Are) The Roadcrew,MotÃÂÃÂ¶rhead,spotify:track:114Wuk9tVKpHQCozsDWw85
N.I.T.A.,Young Marble Giants,spotify:track:1aysEsbUHQ47iSb9eXiPsn
Good Lovin',The Rascals,spotify:track:4jUevE45WWwddNPzsR9idw
Nervous Breakdown,Brian Briggs,spotify:track:4iCCWbyjpHaT3beuDHs1yL
In the Morning Time,Tramaine Hawkins,spotify:track:4pmRz4pvX4VA1FiygB0eP3
Sorry Somehow,HÃÂÃÂ¼sker DÃÂÃÂ¼,spotify:track:4yhaE4g4dZRp4xOUgid9cr
One In A Million,Guns N' Roses,spotify:track:3x5hjcXGWctsbT4AaLbv21
Streetlife Parade,Secret Affair,spotify:track:3TmFvRRemGKRa5ZyhI7cbi
Party out of Bounds,The B-52's,spotify:track:7kWu31DOcgoosVElnFZ1OO
You Got What It Takes - Remix,Bobby Thurston,spotify:track:1uH0yyGr0Z9AZiI6BelTJJ
Wake Me up Before You Go-Go,Wham!,spotify:track:0ikz6tENMONtK6qGkOrU3c
Party Lites,Slave,spotify:track:40elpzEG4gqLB1sQwhaQni
That Sinking Feeling,Whizz For Atoms,spotify:track:4gHQwXt8HLfdIyhEdqz0z0
Victory,Kool & The Gang,spotify:track:1089tBrasHIE2g91xuy0QV
Go Deh Yaka - Club Mix,Monyaka,spotify:track:27hg4veAkzImc2LqMSZIPa
Gimme Your Lovin',Ava Cherry,spotify:track:5rSfL12c4V13ga40JnSMzY
Talk To Me (feat. Marjorie Barnes),Tee Mac,spotify:track:17hcGUbPOurlgIqzV4O86C
Got Me Under Pressure - 2008 Remaster,ZZ Top,spotify:track:1jzZZsfzxsebFa6KpWXaAr
Punish Me With Kisses - Remastered,The Glove,spotify:track:5m6LagUht5vlkfCapUX5lM
Jump In The Fire,Metallica,spotify:track:6p3NDplOaGWddzEbOcpTsT
Moustache,Sparks,spotify:track:6rxnbAXyQmeIHc7CT51jt3
Come Get My Love,TKA,spotify:track:3WRsBhC7op436VLz5HXtAL
Heartbeat City,The Cars,spotify:track:5QuQFz3QK3ILCpBgGHGss8
Let's Straighten It Out,Latimore,spotify:track:3X3P8wgRL2wsLoPtVFO41d
Heat Of The Moment,Asia,spotify:track:2ZBalNGwjqdKJd29O76wBV
Response,The Durutti Column,spotify:track:5ceplndqne6WH4OapVlLc1
Valley Of The Dolls,Giorgio Moroder,spotify:track:6PnbkHAggRPBcEel0hFQi6
Learning to Fly,Pink Floyd,spotify:track:3ieDOGcOqVxScs2VZBzidt
High Above the Clouds,Narada Michael Walden,spotify:track:41IgKiA8dO9PHMuHuxnq7h
Sunlight Bathed the Golden Glow,Felt,spotify:track:13GqPvdJi2QLZasPd0n2zO
Another Second To Be,Accept,spotify:track:2Wnm7NoJuX4dgDF8OrQZXg
What's Love Got to Do with It - 2015 Remaster,Tina Turner,spotify:track:3ErsOxqe2RmXkR65wkygDz
Jane Says,Jane's Addiction,spotify:track:7c1Dar0pIAW7w5TzaGjt9t
Suicide Day,A Flock Of Seagulls,spotify:track:1OerY2jy6FbAuNP1Dll35Q
"Twilight World - Superb, Superb, Mix",Swing Out Sister,spotify:track:6TKjOo1YnLXVVQ0lkhnJx3
Through Being Cool - 2010 Remaster,DEVO,spotify:track:0U2ecxStCgfedp9aCSA45b
Feel Good Party Time,JR Funk,spotify:track:3Kxl9AHeCbOL3r8fJuTWuk
The Beautiful Ones,Prince,spotify:track:1BNtFSws7fjbn9aVBPA79j
Is There Something I Should Know? - Monster Mix; 2010 Remaster,Duran Duran,spotify:track:6WgDqmXa1odrrcioQbBnz4
He'd Send in the Army,Gang Of Four,spotify:track:4Ht3TjI6qzxxQjGTnPpkkv
Money For Nothing,Dire Straits,spotify:track:4WfGrAJVC3A5xhUTja0gUG
Happy Feeling,Denroy Morgan,spotify:track:6gbeYY6jRR9xVzuUkskN6x
I Guess I'm Just a Little Too Sensitive,Orange Juice,spotify:track:0uVGDPBHf8WvWhRsQdRYle
Take Me Home - 2016 Remaster,Phil Collins,spotify:track:2s6wCS3vDZFPY9NOTlPXJZ
Blow the House Down,Living In A Box,spotify:track:3sGH6lAB0tecK3TX2lXBJF
Honey For The Bees,Patti Austin,spotify:track:2KLB9bEq2thD4Gfa5LonAR
Luxury,Frank Tovey,spotify:track:4RPk6hlyFhJpGWYezl9v6Q
Her Town Too (with J.D. Souther),James Taylor,spotify:track:3ukAkL7aLVrDf7x2XiUkNZ
Prove Me Wrong,The Sound,spotify:track:4zkOqTJPA2L5egXDtttydC
Take Good Care Of My Baby,Bobby Vee,spotify:track:6KVCLHNM9xcMStyK3rZAch
"The World Spins, I'm Part Of It",China Crisis,spotify:track:1sWCtyIoi2SjK8Jz5qrabr
Animal - Remastered 2017,Def Leppard,spotify:track:1H1XrFD0eTismw06NBJoiJ
Everyday Is Like Halloween,Ministry,spotify:track:6qmY21MWIcAEPf9G80wKfb
Greenham,Kissing The Pink,spotify:track:0bHtNUkpWs4Sfie57GI4gY
Dinosaur,"Hank Williams, Jr.",spotify:track:0SW6NfA6MTCC6OWNt6SAkV
Orion (Remastered),Metallica,spotify:track:1J6aXHOMNalN2YGLpVAD7e
Big Black Mariah,Tom Waits,spotify:track:5Z9H6WVbnaJxtKTlt4MFsd
Rivers of Babylon - Single Version,Boney M.,spotify:track:2jQ2jxpKNIm94vwTy8Et0h
Rime Of The Ancient Mariner - 1998 Remastered Version,Iron Maiden,spotify:track:3tEuFYWBimv6LeNS5lXBrx
Hot Head - 2006 Digital Remaster,Captain Beefheart & His Magic Band,spotify:track:3eon0UrrFkOFoyBACnIXrb
Jump In The Fire (Remastered),Metallica,spotify:track:5Kb48LGt4hW7bbpRWmYmUI
The Lady Don't Mind - 2005 Remaster,Talking Heads,spotify:track:03HUTPHpK8CJkBlIXTNvVL
Lay All Your Love On Me,ABBA,spotify:track:6cH34Jb2W9s9w8ooRtZZPf
Desire - Remastered 2005,Yello,spotify:track:5TvT53s1G2weg9Tu2Etf6j
This Is Not a Love Song,Public Image Ltd.,spotify:track:5cLiCs2qvZEZDui3saQJI4
Phantom Of The Opera - 1998 Remastered Version,Iron Maiden,spotify:track:5RS9QZRfr7vqQRT6G9e9SD
So Alive,Love and Rockets,spotify:track:6amZm52SfS7d6oCEu9NDMl
Nimrod's Son,Pixies,spotify:track:1ElwoqicApTqeYeppeRmht
Straight to Hell - Remastered,The Clash,spotify:track:2ax1vei61BzRGsEn6ckEdL
Ghosts of American Astronauts,Mekons,spotify:track:34O1ZJPLC9fSFptMlW8Dkx
I Don't Have the Heart,James Ingram,spotify:track:5In7xBveNACCRX2uWNoPuW
Touch (Part 1),Secession,spotify:track:2L94fc5ISsJrTqyEmOVSuB
Welcome To The Jungle,Guns N' Roses,spotify:track:4fnGw1e3iYLlRqzJjhXUQI
Pink Sunshine - High Octane Mix,Fuzzbox,spotify:track:1i7eou2Gf0Wmuqknjoy3jA
Because of You,The Cover Girls,spotify:track:0MaxaLTMSRbiiwdDkLbi0C
Catch Me (I'm Falling),Pretty Poison,spotify:track:2MQ23MqDI0N9IVy8iaZddc
Adventures In Success,Will Powers,spotify:track:4IlCLjsGXojHEkLO5hEPXz
Come Go with Me,ExposÃÂÃÂ©,spotify:track:6rdkC6aPbBeuammcmIlWqH
You Keep Me Hangin On,Kim Wilde,spotify:track:3UBXkWznXqXF7Cg3y1UKsI
Don't Be Cruel - (Extended Version),Bobby Brown,spotify:track:51CQSNjjcelD3vTtDCA4yO
Yesterday's Not Here,Pete Shelley,spotify:track:6PPKv9Qdk5StQVZYjpK9uJ
The Helicopter Spies,Swell Maps,spotify:track:4FToQ2RfWLTuQSTzMUNOCj
Fantastic Day,Haircut 100,spotify:track:7rkuZX0U9yd6RP9kO56qS2
It's You - 1997 Remaster,Talk Talk,spotify:track:5t24QlkDqQTQw0VByaiDPM
Join In The Chant,Nitzer Ebb,spotify:track:34vs8Nv1UbY63eWgMR1Tb2
Bon Temps Roulex (Spring 1980),The Cleaners From Venus,spotify:track:3gftxkDlFFwLkw0ea4rYxt
Accidentally 4the Street (Gloria),Figures On A Beach,spotify:track:5hbjYtmwEs3lCC3ieXH8j5
Metal Daze,Manowar,spotify:track:6f0Q6voeWc8YsdDBFNXcoH
Sign Of The Hammer,Manowar,spotify:track:2PvyvtTf4ld8xGK4faqFEW
Love Is The Gun - Miami Mix,Blue Mercedes,spotify:track:0l8tAplsi6VPqV6WBDCCOZ
Disco Rough,MathÃÂÃÂ©matiques Modernes,spotify:track:1HpWXBFEhAWb9bSZaCfQId
Run Me Down,The Higsons,spotify:track:4pZjcIcZBBphvPRCimf05Y
Amor Eterno,RocÃÂÃÂ­o DÃÂÃÂºrcal,spotify:track:3K3wpXrbZYkXMxiA9QJwV1
Te Quiero para MÃÂÃÂ­,Trigo Limpio,spotify:track:1M6YZDInfgrhdB1qVazmvf
Keep Your Hands to Yourself,The Georgia Satellites,spotify:track:5tORtBzHUAnNrIw5Ql3kHZ
Cities In Dust,Siouxsie and the Banshees,spotify:track:3wOkfdt4gPH3QZfneG88Q5
The Lunatics (Have Taken over the Asylum),Fun Boy Three,spotify:track:1RdZFqugMZXZN4aRryd9Og
South Of Heaven,Slayer,spotify:track:1HNFInFeXqddmDRqvlelGQ
Drugface,The Passage,spotify:track:1Etd4aazzdznky9qIdxEAK
Room At The Top,Adam Ant,spotify:track:2mtJGXby8Pst0keW1FP0iI
The Spirit Of Radio,Rush,spotify:track:4pmNJH9lNCh9Qp88L2CRJU
Tainted Love - Single Version,Gloria Jones,spotify:track:0BbA7S30mOQB94e4IBnqCt
Tout Doucement,Blossom Dearie,spotify:track:5KqxZQvD9GmiRDuVpUI4Bt
Blood And Roses,The Smithereens,spotify:track:1Oo2c7AkswvVkO0ZDTiOZs
You're Too Late,Fantasy,spotify:track:1hiKryaNX1kwtVxc8h80zZ
Creeping Death (Remastered),Metallica,spotify:track:3qXEqKdzI3MSGB1FlGMBz5
Release the Beast,Breakwater,spotify:track:1A7Nb5XVAJzXmbkk5S59t3
Talk Dirty (To Me),Romeo Void,spotify:track:3LentZww0oN9rx0Cg6y7Iy
Eat Me Alive,Judas Priest,spotify:track:4dB5JlDpDT4WLUvX5xIXON
Just Git It Together (Togeher-run),Lisa Lisa & Cult Jam,spotify:track:1d14eYZ7yjfBwas0BtBvwj
Burnin' for You,Blue ÃÂÃÂyster Cult,spotify:track:3fkPMWQ6cBNBLuFcPyMS8s
Pictures of You,The Cure,spotify:track:1tuwC1Ob5vnYZhvg3zyzJg
De Kleeer Ting,Kleeer,spotify:track:7JKAsbDgbK61EL5ThgY9P1
Thief in the Night,George Duke,spotify:track:1sKXt7MBZWkRRWw6AaqIN9
Mismatch,Apollonia,spotify:track:1B6c4xexDKdsqAuLosqKaq
Take,The Colourfield,spotify:track:4Fh74aaf0vSrbC83ngSIVQ
I Never Loved A Man [The Way I Love You],Aretha Franklin,spotify:track:3zyDPAVCR5FQuvkzV0vs5e
Good Day,The Kinks,spotify:track:1rQSgWqA0vDOq7xFotAA0u
Share The Night - Club Mix,World Premiere,spotify:track:6dGREBs7FIF4vsTKDNemOG
All Those Years Ago - 2004 Mix,George Harrison,spotify:track:32fKHW6Eac4yBXn9WY7Aic
Vengeance,Blue ÃÂÃÂyster Cult,spotify:track:1npDAUsFkVkq4Sw1jnP0Ap
If You Feel It,Thelma Houston,spotify:track:2F2h11USohqFNnYCvYQRqL
Rockin' You Eternally,Leon Ware,spotify:track:4o2td8t1oO5MdI0ahSi32h
Love Goes On!,The Go-Betweens,spotify:track:4x7uwEgTYtM5pBLjppkcGb
One,Three Dog Night,spotify:track:4KkGTqja19AHqItq3XBV3C
"So You Wanna Be a Star - 12"" Single Version",Mtume,spotify:track:6WzRuJ5FqVHC07kVh5KAmu
Rio - Night Version; 2009 Remaster,Duran Duran,spotify:track:5P4g0iNPjkirU9CsHvXhDP
Piece Of My Love,Guy,spotify:track:1AKI0dqAIamOa2UamiHNF9
Boogies Gonna Get Ya,Rafael Cameron,spotify:track:32Mu2PQSnL2HFcBasP6NEq
101,Sheena Easton,spotify:track:5D8SlbqWfY4cmEMDqFCFFB
Balls to the Wall,Accept,spotify:track:2dbOYFfS7r7NAzquRvji9A
Torch - Extended Version,Soft Cell,spotify:track:0bp9FdBa7NBoMazKFyMIa5
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,spotify:track:7L2eFj0KFJDmHTPMUL4ZxR
Never Knew Love Like This - Extended Version,Alexander O'Neal,spotify:track:42UeyYqZE5AMoEvfWWN7gY
Fever,Peggy Lee,spotify:track:2CeqxyOZEyiL6pTDYZ9gPH
Big Car,Severed Heads,spotify:track:27L2ocDYYOGDHACnXTNRN3
Sixteen Blue,The Replacements,spotify:track:6k4VvVAbkW9B3Fpvf3eSCg
Always on My Mind / In My House - 2001 Remaster,Pet Shop Boys,spotify:track:3700ijpUcDBdQFOVReAVJM
Girls Just Want to Have Fun,Cyndi Lauper,spotify:track:4y1LsJpmMti1PfRQV9AWWe
"Eardrum Buzz - 12"" Version",Wire,spotify:track:6TC8SnHnwy4gop7UD5JrjG
All Around My Hat,Steeleye Span,spotify:track:6NIsCWlfDY2RIWBnOjDA8g
Evelyn,Xymox,spotify:track:3S5WknhKi4wlpSouDHkxVQ
Last Dance - Single Version,Donna Summer,spotify:track:4tY01qYozc6db4gihAiIl8
When Love Surges - Extended Version,Jules Shear,spotify:track:4TQKsKZgl73WSY6IDOhJsC
King For A Day - 2001 Remaster,XTC,spotify:track:7wBymwOuTrmb4ns4kaWyvT
Bad Company,Ullanda McCullough,spotify:track:1qvIZNzMCpahNMOiaMFCJD
Steal Away (The Night),Ozzy Osbourne,spotify:track:69V1o3VINEWqhSFfLBhhIi
Kingdom of Love,The Soft Boys,spotify:track:2eSjTaTsQE6zdsJyfY43eN
Brindaremos por ÃÂÃÂ©l,Massiel,spotify:track:3FVpM9dyJHgiTNYcp87dId
Another Night - Dance Mix,Aretha Franklin,spotify:track:0Q7ce7KWydz8IQIafRYEkF
Happy,Bobby Glover,spotify:track:0bWzUldq5UXlUemnVAOfy9
Terrible Lie,Nine Inch Nails,spotify:track:3j5zpC6RXof7uKb9l9JApn
Domino Dancing - 2001 Remaster,Pet Shop Boys,spotify:track:58nnHo2vaWBX7LKU0kMxFv
Bella,Carlos Santana,spotify:track:2WPZBqjn6vWxhZAidkfZRR
Metropolis,MotÃÂÃÂ¶rhead,spotify:track:6izelfXlsmHfY5XsYY0PnE
Saved By Zero,The Fixx,spotify:track:1wD9NQhbVVLrDjUKvfgKbX
Over and Over - Brooklyn Funk Essential Mix,Pajama Party,spotify:track:79lsvJMWUqMVo1tj1SAeoV
The Dead Next Door,Billy Idol,spotify:track:5aLiSPbF4E5aEM3UHTMoBr
Ready Or Not - Shep Pettibone Special Remix Version,Cat Miller,spotify:track:3Ro7UNv78OfGSazUUO7x1g
Son Of A Preacher Man,Dusty Springfield,spotify:track:0scrtPmtlIVwwk9s4LXJ8n
Wood Beez,Scritti Politti,spotify:track:7zjdO3toeBJIUzxjHkvRan
All Night Long,Peter Murphy,spotify:track:0VsKthATIEQVLdqXbRjEsz
It's a War - Extended,Kano,spotify:track:0GhBU1fuptdqNhFRlFaBLJ
Bankrobber - Remastered,The Clash,spotify:track:326OKIhvo9ZJBcjGah2e1E
I'm Still Standing,Elton John,spotify:track:5fwP61Nmo5xXYIjO9XEWqb
Shout - Rio Mix,Depeche Mode,spotify:track:5mxCjEP3GbXsRjIPtXP092
Wap-Bam-Boogie - Latin Remix,Matt Bianco,spotify:track:3YM5dmSjCwLKd4nyXyakvB
New Love,Jeffrey Osborne,spotify:track:4mORhyWH3FqMzIKYrzoE6O
Senses Working Overtime - Remastered,XTC,spotify:track:0XDv7SLyMkGcAnb12fMHa1
Universal Soldier,Buffy Sainte-Marie,spotify:track:35oPNtWETGELk0CguDIfKr
