Bed & Breakfast,Murray Head,spotify:track:2EezZrct9l2dp1Jj6SGE2D
Deadly Dancer,Legs Diamond,spotify:track:5E0qIHHuUee3dJqdb9FflX
Sabbra Cadabra - 2013 Remaster,Black Sabbath,spotify:track:4zLMM82wGnGS0VIy3pq2yU
Sultans of Swing,Dire Straits,spotify:track:6cr6UDpkjEaMQ80OjWqEBQ
Jack-A-Diamonds,Waylon Jennings,spotify:track:4eqc9yVevvxFqBdyIWueQF
Strange Town - 2003 Remastered Version,The Groundhogs,spotify:track:5RlwpfUKLAdhuF44McqWBk
Leader,Buffalo,spotify:track:3oQ6UkmwxSlhmzzzMJLIty
Hope You're Feeling Better,Santana,spotify:track:3lysbLRK4bGbQRmYfN5S0o
Kodak Ghosts,Michael Chapman,spotify:track:00JEfhPJKcTgW8SNC8qYVr
Buttercup,The Rascals,spotify:track:1kWsegL0TkAjk3l4c63ivH
Wasted Days And Wasted Nights,Freddy Fender,spotify:track:3xPer22ZLDCRQtb6Z03ykt
In Your Mind,Bryan Ferry,spotify:track:5zgXieiMkbFuNlcVhKGDZy
A Friend's Place,Mack Browne & The Brothers,spotify:track:5OhcJL9pq0N10FCAb1SfZp
Kung Fu,Curtis Mayfield,spotify:track:0WNXlCwsn9npUGGG45B2XA
Moonbird,De Wolfe Music,spotify:track:260Zf9uQYZh3Q3WZdk9alk
Sweet Exorcist,Curtis Mayfield,spotify:track:5AeG4Wp99kjbznPo607bAT
When You're Dead,The Ghost,spotify:track:4EURnrbaeJYJWMMl3ineeB
Memory Band,Minnie Riperton,spotify:track:25rFfWEpkArgtYJiSSn7cU
Ain't No Love Lost,Linda Clifford,spotify:track:2I4qBazPO7k2ZjjkIBx1A0
Don't Go To Strangers,J.J. Cale,spotify:track:5qZKuuKGngifO5psg19XdO
Wishing You Were Here - 2002 Remaster,Chicago,spotify:track:3apndFiT1MCYS9qSy4NJCP
Dean,Terry Reid,spotify:track:02S3bKFXu6Ow0bmJdmEQlr
I Miss You,Harold Melvin & The Blue Notes,spotify:track:2gSBJPEjYoj6UhsI25TC8r
Don't Let Me Down - Remastered 2009,The Beatles,spotify:track:3evG0BIqEFMMP7lVJh1cSf
Carrie Anne,The Hollies,spotify:track:7hbS99uuSAjqwFwcYgUdEV
"Move Over - Live at McMahon Stadium, Calgary, Canada - July 1970",Janis Joplin,spotify:track:4jX1YR04I3dKLqetuWKHV2
Summer '68,Pink Floyd,spotify:track:5MZALWjwQRX0RsZt31HlNP
On a Carousel,The Hollies,spotify:track:5DcB4bQNmczM5QXxvVoWtc
Man from the Past,Tower Of Power,spotify:track:3wNKXzNYN7tJR8SqMJziQx
John Doe,Banchee,spotify:track:336ItnFbM79lRaEgtHpk87
The Battle of Evermore - 1990 Remaster,Led Zeppelin,spotify:track:6rfvuWLzWCHZD2HCsmapSk
My Family,David Axelrod,spotify:track:4N1CexanVeSaWsGny4fOqI
Planet Caravan - 2013 Remaster,Black Sabbath,spotify:track:2VDg6h3Qr3F8UuFVInQxE6
Fotschi Tong,Cluster,spotify:track:4JQL18huBMh5mp78Cfg9tJ
Greased Lightnin',John Travolta,spotify:track:5A3XwVCzBoeg6Tru5VXVLX
No Other,Gene Clark,spotify:track:5neFHiejZX5OmTD5ZtJexC
Right On With This Mess,Reuben Wilson,spotify:track:7h6Fb4eF6YGzUD1BHsDgnG
Young Americans - 2007 Remaster,David Bowie,spotify:track:2mAguyBQ2Xey2yOmwIpL3B
Sitting Here On a Tongue,The Grodeck Whipperjenny,spotify:track:6sapBlfI2rHFRVVxBFXZlk
Vibrations,Roy Ayers Ubiquity,spotify:track:7bwsqDTrvpqO4spefohQu3
Wild World,Yusuf / Cat Stevens,spotify:track:269OfNY9Je1QWaDnu31KKp
Sho-Nuff Mellow,Reuben Wilson,spotify:track:6o2pIXMRyRw1zNZCwwikKR
Yesterday's Numbers,Flamin' Groovies,spotify:track:0wwU4DXQZJS1M0V0mRovSP
Paranoid,Black Sabbath,spotify:track:1jzDzZWeSDBg5fhNc3tczV
Stay Clean,MotÃ¶rhead,spotify:track:6tXOKRPzYPVJCYCBnO0mxx
Sweet Surrender,Tim Buckley,spotify:track:42AO7bZPlJIxAbbn81k4kw
Redman,Bang,spotify:track:2qjBGxDE1CkZl4xSJGF8nh
"Cry Baby - Live at CNE Stadium, Toronto, Canada - June 1970",Janis Joplin,spotify:track:4ZvSLFGxQZEMkDIxsKwYah
Ireland (The Wild One),Cromwell,spotify:track:2HtRsL0NqdZ3gLVqqqaVFb
Ain't Got Time,Curtis Mayfield,spotify:track:2cKcB4aKrMbxRN9aLLMTSv
Hotel California - 2013 Remaster,Eagles,spotify:track:40riOy7x9W7GXjyGp4pjAv
Misty Mountain Hop - 1990 Remaster,Led Zeppelin,spotify:track:4kOCN0SaJiIlMYn0Qgdr8m
I'm A Mover,Buffalo,spotify:track:5bo8svyB7hDMtkSA1Gy6W9
Time Is of No Consequence,Little Free Rock,spotify:track:0flgx7Rvwx4qkgZcpOSAss
I Spider,Web,spotify:track:5zIHueOauNzwVBobw20dxd
Damage Case,MotÃ¶rhead,spotify:track:04jt8ltrZY0Dh9nGwBazYH
Two Tickets To Paradise,Eddie Money,spotify:track:5YxEnjsmZ7evSmOFaRuvRt
Doctor Doctor,UFO,spotify:track:5K8gqK84cFZV1dFJAMC0jU
"Give Me No ""Roses""",CAN,spotify:track:1l3g7MYxu3qelcRa2y0O46
Streets of Baltimore - 2007 Remaster,Gram Parsons,spotify:track:2PFNJwPprlAGmYyuJeoX0x
If You Were A Bluebird,Joe Ely,spotify:track:6QrLRNRkcgOF3DpF4s5H4E
Street Kids,Elton John,spotify:track:2gjLi2PuS3jBmaLF1JOqKb
You Can't Put Your Arms Round a Memory,Johnny Thunders,spotify:track:2soxUQx6rPfOk0kHNePbhq
Makes No Difference,Pat Travers,spotify:track:5ittpHD97vaSR3fk86cysq
Fortunate Son,Creedence Clearwater Revival,spotify:track:7GkM8M2EC8OJblOxQxAR7t
Walk And Talk - 2015 Remastered Demo Version,The Velvet Underground,spotify:track:6wDO9a0v8BFiNaSupEe6ik
Prime Time,The Tubes,spotify:track:1SIFIQwbaFhcIDQoAxTuT1
Allt Genom Dig,November,spotify:track:3LvXKaHRgrI2Pxbj9L0zUS
The Seeker - Edit,The Who,spotify:track:65tWmWelHKtU59awR7v4xQ
Cries From The Midnight Circus,The Pretty Things,spotify:track:2Q3h3aeAhPBgjLa9u3Kv4j
Trampled Under Foot - 2012 Remaster,Led Zeppelin,spotify:track:4lPJoKw24HizeIcDLqaWeE
Bye Bye Love,The Cars,spotify:track:2bNOq6aol7JZ0JJtLlg3TK
Something's Gotten Hold Of My Heart,Gene Pitney,spotify:track:5OGALRRGh1V5MMMpdza3ww
Substitute,The Who,spotify:track:6Ht0wBgRgLQPjIQKks766b
The Spark of Life - 2015 Remaster,Todd Rundgren,spotify:track:4D8qFrJTrWe6bzLHjOv6Yg
Meat City - Remastered 2010,John Lennon,spotify:track:5mROLKV9edAqJnof3ib0Sh
Radagacuca,Brainticket,spotify:track:19900sAVt8ijp7npXuFnhr
Milk and Alcohol - 2002 Remaster,Dr. Feelgood,spotify:track:5Sq9ADswKXGMnN7HQ6Ev0L
California Cottonfields - Live,Gram Parsons,spotify:track:1dWbER1716VULP0KZ0PvcE
Shadrack,Grant Green,spotify:track:59042N0UTzG4gFHb3Qf6TG
Evil Woman,Little Free Rock,spotify:track:3mLP9yMbTpvuyYXLSjSsJV
Chance Meeting,Bryan Ferry,spotify:track:0llhIdDXDLAkOBlGCyN4vy
Like a Ship,Pastor T.L. Barrett and the Youth for Christ Choir,spotify:track:2RcZIrOCedVC6RYHTnlm7y
Get Yourself Together,Freedom,spotify:track:0lY7Zx0n8A5CUTNMz8mvNF
I'm Always Dancin' to the Music,Benny Golson,spotify:track:0MmqarCGnnEfxKCaaZx88t
Nashville Again,Paul Siebel,spotify:track:3QY5jDFQQp5T1klr4Lax15
Sekunder,November,spotify:track:4LBuAek0HV1ZPnJJgBSKfY
Every Time He Comes Around - Extended Version,Minnie Riperton,spotify:track:4FwbJyf4AwGXEibE09hxGB
Feel Flows - Remastered 2009,The Beach Boys,spotify:track:7lNATn8yN0Yjr4KOKDBdW6
The Queen,Bang,spotify:track:3tPOSZ6KfQ3or5nwzSPmtR
The Change,Felt,spotify:track:4GfIcKfjgLodgwEasDwAKA
Don't Bring Me Down,Electric Light Orchestra,spotify:track:4yQUu82EFI8MG6SpI8MAbs
I Wouldn't Want to Be Like You,The Alan Parsons Project,spotify:track:5dbcQ5D5EnBK4mO3Oygzeu
Jesus Was a Capricorn (Owed to John Prine),Kris Kristofferson,spotify:track:0CbCkwsrhGO8a4dJj11s1M
In My Hour of Darkness - Remaster,Gram Parsons,spotify:track:28xYsYblby21yWGCRcF5Cm
Satin Soul,Henry Mancini & His Concert Orchestra,spotify:track:0yoyXoDvfNEXUDWa9JWe9X
The American Ruse,MC5,spotify:track:1DA8zKVVOdaZomJyRX1zjM
You're Driving Me Right Out Of My Mind,Joe Bataan,spotify:track:3LAqOmkx52XUn79MK9ltDA
A National Acrobat,Black Sabbath,spotify:track:0QRUCaiGJmta8PJst9HdTd
"Piece of My Heart - Live at The Grande Ballroom, Detroit, MI - March 1968",Janis Joplin,spotify:track:737kEEAsEOChHHOVk2QM5D
"Summertime - Live at Winnipeg Stadium, Winnipeg, Canada - July 1970",Janis Joplin,spotify:track:4EjhVqqSNlLSk4JWYfu6JX
Vincent,Don McLean,spotify:track:0VNzEY1G4GLqcNx5qaaTl6
"Jack Daniel's, If You Please",David Allan Coe,spotify:track:1ujVkjSPsm98QFJGyAkokw
I Recall a Gypsy Woman - Remastered,Waylon Jennings,spotify:track:3QtkExf631dUKScg3FOcGp
You're Sixteen-Your're Beautiful (And You're Mine) - Single Version,Johnny Burnette,spotify:track:5HEDjLbZzujPv6xiylsCQ2
Black Rose,Waylon Jennings,spotify:track:20BOBwCIaz9S0u4k8jSBSQ
Combination,Aerosmith,spotify:track:6b7MnwuZnJbP0NUqjoAOCc
Poxa,Cortex,spotify:track:4NaIl2XLSgc5AoFIZm1NIU
"Take Me Home, Country Roads",John Denver,spotify:track:1YYhDizHx7PnDhAhko6cDS
Bastille Day,Rush,spotify:track:2fsFnXtYfu3xkz9QXj1pZs
Is That Enough,Marvin Gaye,spotify:track:3yYVJTOQWoTiGvFSSYoMpZ
Pensiero stupendo,Patty Pravo,spotify:track:5P2sVkO2mhgeDicQc1btfj
Messaggio,Lesiman,spotify:track:5un7RkR8c4YWLQfpTe6Cle
Fearless - 2011 Remastered Version,Pink Floyd,spotify:track:5WEOx4ZXcfX3wvbfxsAoDO
Something on My Mind,Titanic,spotify:track:7MI2NKC2unIhZfK3wuaGQB
Tirando Piedras al RÃ­o,Miguel Abuelo,spotify:track:6nWnKNrLUX5QEFbs1Limqe
Wild Life - 2018 Remaster,Wings,spotify:track:0DtItzol85j6j5F9j9V36Q
Susie Q,Creedence Clearwater Revival,spotify:track:6z2AyfE9GZxoHqJVSA4NgN
Ain't Got Hung On You,Sir Lord Baltimore,spotify:track:6SssS3HxJVwT4Xw2aava9O
Potato Strut,Swamp Gas,spotify:track:5XUQF10TOXuFiHe2Fah2d5
You've Been Gone Too Long,Ann Sexton,spotify:track:6vQHrUF2yapm6UNlyKqp5S
La soupeuse,Jeanne Folly,spotify:track:30L34U1Q4jK5fvU0nAqONx
Candyman - 2013 Remaster,Grateful Dead,spotify:track:4FJ0051ukEptZAhP01ExGV
E.V.A.,Jean-Jacques Perrey,spotify:track:4nQNNwnIUUmFzVOcVVJCk1
Earl Gray,Fleetwood Mac,spotify:track:3lhtmXT6FDwGOCANDbKC0W
Black Cream,The Harold Wheeler Consort,spotify:track:5KXjK9WSaZ2gvCDpF4TYJj
Saturday Nightâs Alright (For Fighting) - Remastered,Elton John,spotify:track:2Wmf666yKgJw33y3m29Ev5
"Summertime - Live at The Carousel Ballroom, San Francisco, CA - June 1968",Big Brother & The Holding Company,spotify:track:4Mro84fzF8WCIS4QHIx5OF
Southern Cross,The Ozark Mountain Daredevils,spotify:track:69hbKkOa45vh2oWOwDeBFG
Less Than Zero,Elvis Costello,spotify:track:3AaPC1M5Vsvt8AcpVlHpsL
Lucky Man - 2012 Remastered Version,"Emerson, Lake & Palmer",spotify:track:2BURVLCtzmNylUqMVCLUbg
The Long And Winding Road - Remastered 2009,The Beatles,spotify:track:3mlMpmY8oZIBFc39D9zLbh
Money - 2011 Remastered Version,Pink Floyd,spotify:track:3aoDEt6zSuYQ47gzarlaVo
Queen of the Highway,The Doors,spotify:track:1tBMs9Rmw3UMvPJrsXsUyL
Do It Again,Terry Callier,spotify:track:1jyZAbljkwNi9VKqoFmI22
Touch Me Now - Unmixed,Bravo,spotify:track:05OIuCGSx4APKLhi6qReOM
Let Me Roll It - Remastered 2010,Paul McCartney,spotify:track:0mRQp2HsSqX1MZuMvonAPN
Cha Chita,El Chicano,spotify:track:23MGV9z6pydMvIA6Gmfuh1
Never Going Back Again - 2004 Remaster,Fleetwood Mac,spotify:track:6rMCLdegdg4BACwBpjht3E
Poncho & Lefty,Townes Van Zandt,spotify:track:6QXtKi4TVe1458QNodE3cs
Solitude - 2014 Remaster,Black Sabbath,spotify:track:0wjptUxT1jhKZ3Xm4lX8OF
Love Potion No. 9,The Clovers,spotify:track:1NXFB5dr0M5PST7RH80jUS
The Devil Went Down to Georgia,The Charlie Daniels Band,spotify:track:6gRACp2CvsIhc7hyw8CecQ
Sin's A Good Man's Brother - Remastered,Grand Funk Railroad,spotify:track:6pWvauh3ksqTynfxV2WyIb
Loran's Dance,"Grover Washington, Jr.",spotify:track:7gNrC7OWXD4sp3JZiGEjUc
Mermaid,Alan Hawkshaw,spotify:track:4LcogSQgiNo6rtCG70emJj
Editions Of You,Roxy Music,spotify:track:3v8m161sv4NBY5QpM6ZdNY
We Will Rock You - Remastered,Queen,spotify:track:4pbJqGIASGPr0ZpGpnWkDn
Me Olvide De Vivir,Julio Iglesias,spotify:track:0kVOor973ijVqOBhYqvaE8
Satisfied,Dynasty,spotify:track:5cK5arN6tbb5UT1MojxxFr
Breakout - 2014 Remaster,Black Sabbath,spotify:track:6SrCUEipoRJKC6sPaHM0Ja
Babalu-Bar,Taxi,spotify:track:3OofqYvPyFE9Jx2l5nlElD
La Sarna del Viento,Contraluz,spotify:track:06ty4iwnOgrKUepcOhqF56
Clown,Argent,spotify:track:3Sxgdq2NBlsrF9PQuZrIyp
Drivin' My Life Away,Eddie Rabbitt,spotify:track:3PJ9yQv8IUmLx24KFvaVEI
Young Willing And Able,Minnie Riperton,spotify:track:1DAckvryS5N29LS5Y7DRTo
Leaving Shire,Bo Hansson,spotify:track:0ueUL0n9DZBhycUSQ3fLGJ
Take The Money And Run,Steve Miller Band,spotify:track:2dV6oLMaJjV15KCVzcWLbF
Time Is On My Side - Mono Version,The Rolling Stones,spotify:track:54sBUAu3Ptr4x7J5HfSZGi
Dreamland,Roger McGuinn,spotify:track:24mustV9Nxa5HHIahWxUuW
"Hello, There",John Cale,spotify:track:6Hm0mU868o8cPVkQ7tOmFa
Don't Fence Me In,Willie Nelson,spotify:track:3Jntkny7lSLUKqVbcyx5h2
Blue Star,The Charlie Daniels Band,spotify:track:4Np8BmQkc48zPd5qD1l358
Who Are You? - 2013 Remaster,Black Sabbath,spotify:track:0rI2D7dLOkkP219DwstmOy
Songwriter's Lament,Captain Marryat,spotify:track:1eicFWsUFPgY208ZeOaVH4
Man Is Free,Air,spotify:track:3tHOb49Jh9uMtk463y3MbY
There Is Nothing That I Can Do for You,Pete Dello and Friends,spotify:track:2ava3UpjsBRdF6fxe39lOy
Passarinho,Gal Costa,spotify:track:1S58j34kowXT5fcj95xt6y
That's The Way (I Like It) - 2004 Remastered Version,KC & The Sunshine Band,spotify:track:1qiQduM84A0VeH8Y2uAbqi
Freedom to Stay,Waylon Jennings,spotify:track:1FAmKoufyAXMfzPPs9bsjA
Goodbye Yellow Brick Road,Elton John,spotify:track:5MDgUvbBUi1nu1yt11mzH6
L'horrible rÃªve,Le SystÃ¨me Crapoutchik,spotify:track:2mlWu5vLZmiYQcnbN2JBXk
Mercy Mercy Me (The Ecology),Marvin Gaye,spotify:track:1crwgCeiuMu0PAIiHHSoWt
Bubbles in My Beer,Willie Nelson,spotify:track:2B3mWAyrWbOfCjvO6kkMAg
The Storm: Epicycle and Rebirth,Lacewing,spotify:track:0GOQumfq0DnCHqAGSwBa39
Hello Susie,The Move,spotify:track:1ZRIt0stOYBkp6BDwU7U0O
Over Too Soon,Small Faces,spotify:track:6OL5DN6vdiZdMvchblIrVd
You're My Best Friend - Remastered 2011,Queen,spotify:track:4OKf7CcYuw5H2HptkcKxcP
All Gates Open,CAN,spotify:track:0Vi0ZnIN11Ni2JD4QH2M5i
Mir reicht's,Eulenspygel,spotify:track:4ErYPcrtEqw3MPAKClXIeU
An Old Fashioned Love Song,Three Dog Night,spotify:track:0mkRIQZWFIdNPoIlr0owYd
Somewhere In Hollywood,10cc,spotify:track:2VUBY4MtvthLO7FzknQgh6
Bobby Brown Goes Down,Frank Zappa,spotify:track:5SRToQv64FfnzhdXteN6hw
Midnight Runaway,Three Dog Night,spotify:track:7s0kGNpk4uAGshq7DRIMlb
River Song,Dennis Wilson,spotify:track:70Ao5L10SKV701DcOH68Jo
Cocaine,Eric Clapton,spotify:track:3ykSdTGmYPFl8pDBXer1zG
Glowin',The Rationals,spotify:track:1TMv3E5CMz5oN88fGVgHW6
Victim Of Changes,Judas Priest,spotify:track:2B3LrkMAmRVFj6RORrDLHi
Goo Goo Wah Wah,Wah Wah Watson,spotify:track:0QlElL39pJBNijyLaCrp56
Tight A$ - Remastered 2010,John Lennon,spotify:track:7dsHoB70SVyOUeZMNKwBJg
"It's Happened Before, It'll Happen Again",Taste,spotify:track:5z6rQR2zAvtxadAX5wK0Qa
Too Much Ain't Enough,Tom Petty and the Heartbreakers,spotify:track:1Bg3YHRCtFvSzjQWd6NbvG
High Flyin' Baby,Flamin' Groovies,spotify:track:55pWqAzL0ZVvIV99Hv4TRG
Na boca do sol,Arthur Verocai,spotify:track:5oiueCPkJCU9wCmQO5HDTj
Rock'n Roll Testament,Karthago,spotify:track:6ZBIJlkGDZtZRcV762pWHT
The Four Horsemen,Aphrodite's Child,spotify:track:7jl7JwROOrvf0yOLF4AKfI
Johnny's Garden,Stephen Stills,spotify:track:1NwSBE0JGYzHgAytuZdIiO
Hop Hop,Placebo,spotify:track:7hxeTbvURo7h1b9fnzCvbl
Overkill,MotÃ¶rhead,spotify:track:0QxFwYZXB4rKPw0G3IVl4l
You Know That I Love You,The Uniques,spotify:track:5SEIAmJYiblOktqcFNzAjr
"She's Sweet, She's Somebody",Gene Cotton,spotify:track:1knx47c9kgjIY3qpEYxapX
Love To Love You (And Tonight Pigs Will Fly),Caravan,spotify:track:55ysSDylhZ0WKINeikZjSY
Rock My Soul,Tiger B.Smith,spotify:track:6nltu1sTFlLH86IgQ82OIq
Here We Come,Brick,spotify:track:4NXxreUDxPT6jcViTi7hRA
It's Alright - 2013 Remaster,Black Sabbath,spotify:track:0pfgvaBHJv23hFCOX8RBP0
See Here,Taste,spotify:track:3TTNdOLfCvZxckWnOcfb6S
The Guns of Brixton - Remastered,The Clash,spotify:track:0jnFDxgNhS156vu6roUVco
Lettin' It Loose,Heatwave,spotify:track:3m6E8ZPiQkW0i2WboZH9Ju
Walk On By,The Equatics,spotify:track:0vBTlZLCQFlPIyUo0YYQDR
One of These Days - 2004 Remaster,Ten Years After,spotify:track:0pUkKV5sNagBfLv2Dcl64t
Lowdown - 2006 Remastered Version,Wire,spotify:track:2fb7dWrEsTKuPWohoaQHa5
Flammende Herzen,Michael Rother,spotify:track:1xKoikbf7wtFbi2NGBI7WE
Spanish Eyes,Al Martino,spotify:track:3CFx8SBSwY8Q1IplDTQ6kB
Bandits In The Woods,Kraan,spotify:track:0Kza6ba94VXjw9to8Ww49W
Jesus Is Just Alright with Me - 2007 Remaster,The Doobie Brothers,spotify:track:3voA7jcES21idqh8dflNim
See No Evil,Television,spotify:track:2OaXmeYBJ0hcTmS3kxjJOx
Ain't Got Time,Roy Ayers Ubiquity,spotify:track:0a6KDKdCDoPconrNOhRUmR
Promenader,RagnarÃ¶k,spotify:track:3lmfBFfYlCKpHJjQSaX8MC
Watchin' You,Brainticket,spotify:track:3MJjYnUc6CTFAmFTdaQXXP
High Time (You Quit Your Lowdown Ways) - Remastered,Waylon Jennings,spotify:track:4NQLQAEpPce83FSgUgukFD
Like Any Other,999,spotify:track:7smGG8D40RvQxEzSjvMTTm
We've Only Just Begun,O'Donel Levy,spotify:track:6bkvIebUYYgPo7I3t4eoQf
"Go on Back to Mama (From ""Gold"")",David McWilliams,spotify:track:1GNay2SUnqrkomzl2Gmbx4
Muddy Mouse (a),Robert Wyatt,spotify:track:3sILZxCgTCjLQnwkSOrSQV
Las Habladurias del Mundo,Pescado Rabioso,spotify:track:5K6fJf9l8WTsscngGert0b
Best Thing,Styx,spotify:track:70rLkkYqA02MZPsehqGsnw
Jagger the Dagger,Eugene McDaniels,spotify:track:2reLffYiqlc8aF9c6tRFZ1
Rabatz,Krokodil,spotify:track:1Us3MlrV61lHnhR2VNnzaI
Woodstock,Joni Mitchell,spotify:track:18o4mqgG9RmPAD8aItmvkO
Accadde a Bali,Arawak,spotify:track:4mE5PiEkFkqkG2haNY35rP
Graveyard,Agnes Strange,spotify:track:4CwNJdjTKr43ybrmNQiOmg
Hooked on a Feeling,Blue Swede,spotify:track:6Ac4NVYYl2U73QiTt11ZKd
Pony,Annette Peacock,spotify:track:3Cioq9gEBcdBZi6SAIfR8l
Fighting My Way Back,Thin Lizzy,spotify:track:41pxBmRw9nO5mxF14ZLhCe
Love Has Brought Me Around,James Taylor,spotify:track:1gBiRW0lAaXGqW8cIySBvC
Man On The Silver Mountain,Rainbow,spotify:track:5pEdaQSuxgifkk9syZvA6k
Motherless Child,Max Roach,spotify:track:2d29K7yKE94JIRn4ImDQ11
I'm in Love,Dschinn,spotify:track:6n3s6zcuyNZxz5tfwzftMb
Sombre Reptiles - 2004 Digital Remaster,Brian Eno,spotify:track:09owruFWkS2w3SXKdbmBbw
King Of The Night Time World,KISS,spotify:track:0aSB46t6OukALhooSDVtPC
Lady Of Fire,Sir Lord Baltimore,spotify:track:5Y3wy2TgN5J93iqe1113Za
Jailbreak,Thin Lizzy,spotify:track:6SCgp1JsD1uu0eHmJp16OZ
Can't Sit Still,Ramatam,spotify:track:44Pjx0ggrMTvSK5SG7aZBR
The Rain Song - 2012 Remaster,Led Zeppelin,spotify:track:3JLrri1xSCui3bzITDJbkk
Real Turned On,Uriah Heep,spotify:track:25956QvKgeGVCMfZ1vSkEX
Space Station #5,Montrose,spotify:track:2kLGZ6ESCKHdQ0DqXoX4PS
Where Are We Going?,Donald Byrd,spotify:track:3E26XqV2an7iMYoEcUVdj4
Up to Me,Roger McGuinn,spotify:track:2Yvm4TvVBg6uBO6GXvILEl
Free,Deniece Williams,spotify:track:3kJwr9OzovziPtwAnYTHeM
Get Down To It,Humble Pie,spotify:track:0Byswn2MzjKrOiY62JBMZo
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,spotify:track:5FKkbyGm42hw1y08l2knlO
Friends,Road,spotify:track:4xzO8EJzjEPGFIZJn25AGT
Something Big,Burt Bacharach,spotify:track:7MLxYHd2HMfKigXtFXygYi
Sunrise,Sunbirds,spotify:track:688cFZ1EceSB3vqwp0Q8EI
Planet Caravan,Black Sabbath,spotify:track:2Hnxw7pp2qRDDBwHYnHhu5
Had To Phone Ya - Remastered 2000,The Beach Boys,spotify:track:1mHimtxZJCPt9UvHlzyYR4
Your Smile,Heklaa,spotify:track:5YBquSJ55j9B95itR9nUEe
Lovin' You - Alternate Band Version,Minnie Riperton,spotify:track:6okAPhdLjx7KnQHLodYQbQ
Charlotte's Observer,Sensations Fix,spotify:track:32wSHp7zMydHe0zPVAmFbN
Any Love,Rufus & Chaka Khan,spotify:track:1kWqY6h6McouejRwhmqtSw
Jeremias Pies de Plomo,Vox Dei,spotify:track:1dhlGayoiiDJVoA9hUDTDn
Group Life,Godley & Creme,spotify:track:3RX1UfjPykALgBpdptbpIx
Love Story,Stack Waddy,spotify:track:7GlkeFqbbBdE8A981CQFbW
Promises,Eric Clapton,spotify:track:1oar8gdDX5yHWzVstAHDav
Changes - 2013 Remaster,Black Sabbath,spotify:track:3b7wNR330iKhql9dEdbNci
Travelin' Light,J.J. Cale,spotify:track:6TXAZHsvrI7Ki20wTZAeu7
I Wanna Know,Dschinn,spotify:track:2kVFbu9iUA6ell15hM1Ytx
Monster in Paradise,Hard Stuff,spotify:track:087C0XIplJH3g1dyTLEqOA
What They Doin?,The Equatics,spotify:track:7s0BKoeNy67NDPayTv5Xd2
Teenage Head,Flamin' Groovies,spotify:track:5ugbzZ4PMjN9YStWFYzH1D
Laid Back and Wasted,David Allan Coe,spotify:track:5yljrv3EVpOd4A9FRAIu4x
Bohemian Rhapsody - Remastered 2011,Queen,spotify:track:1AhDOtG9vPSOmsWgNW0BEY
Dead Drunk Screamin',Goliath,spotify:track:4JhfUpcLNebyJzZRiSzdFE
Backsliders Wine,Michael Martin Murphey,spotify:track:6MPDm9mWqPkiaDL4v8pCax
Keep Me There - With Vocal,Fleetwood Mac,spotify:track:0dWvx5jqTaBhmC8NG9O8AB
Street Lady,Donald Byrd,spotify:track:4Luuhx171oq6nXmaC50x3D
Sticky Finger,Haystacks Balboa,spotify:track:01SqgzvxehkfmDX3lq1KQ3
Juke Box Mama,Link Wray,spotify:track:5vOMYygGYn0OvLfGdrH6iE
Death by Misadventure,Ted Nugent,spotify:track:5KNjqSkOJWQZCuHTst80yG
Don't Lie To Me,Big Star,spotify:track:5gPMwMDeJ57uEkjOyHjg8A
Darlin' Jenny,David Blue,spotify:track:17Wd9gt2MHsv0tvgLZT78s
The Creator Has a Master Plan,Norman Connors and The Starship Orchestra,spotify:track:2zWRN7UXCHAE4LAN4Fx5Ny
Rock and Roll Doctor,Little Feat,spotify:track:3uvEsp3LWHowImpBbZnAtS
Give Him Another Bottle,James Talley,spotify:track:6244gGQ0DFi2fTL9807SdK
On the Beach - 2016 Remaster,Neil Young,spotify:track:1Y8L4hT9CDJH6ROK2XGxgO
Trash,New York Dolls,spotify:track:2iZHbEXfRYmvZ3op4WgkTW
Space Ship Earth,Road,spotify:track:5xd1kkO3OzIuFwipgioCM0
Listen To What The Man Said - 1993 Digital Remaster,Wings,spotify:track:2Ri2AwoGX3yllyllN5gy9g
Life on Mars? - 2015 Remaster,David Bowie,spotify:track:3ZE3wv8V3w2T2f7nOCjV0N
Barbara,Grimaldi Frizzi,spotify:track:457PsE9U7obm9vIbm8E5RS
Right On,Marvin Gaye,spotify:track:5Yhh8Cfc1gp7oyqzL9T1H0
Billy Jack,Curtis Mayfield,spotify:track:58g78TAudwqiMzSJHrhjYB
Hey Tonight,Creedence Clearwater Revival,spotify:track:3UrGEZVC2bbMfVcI0DGOlB
Memory Lane,Minnie Riperton,spotify:track:3Hl3TSGhhpSHfZcgi9CKpT
Teenage Lust,MC5,spotify:track:57cUXRbZNpAIhXy6k93rAC
"Down On Me - Live at The Grande Ballroom, Detroit, MI - March 1968",Big Brother & The Holding Company,spotify:track:0c9wsoY3jUyzcK3nlN7z0K
Still The Same,Bob Seger,spotify:track:1Ryxsiacu8pUXIMCVnIQ8J
Reap What I've Sowed,Climax Blues Band,spotify:track:7mlkKv9bKtWyecErbzckvZ
Tumblin' inn,Barnaby Bye,spotify:track:082WC6xCLFK38urtX3kVdq
Time,Edwin Starr,spotify:track:2JobZeE2sA6BJByUfmQ5FN
A Horse with No Name,America,spotify:track:0Osbam159ngkQww6isBBQJ
